date,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,32402.0,1198.0,2400.0,44400.0,0.0,0.0,0.0,0.0,0.0,60.0,"Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Vail,Class of 1978 Life Sciences Center,Class of 1953 Commons,Dartmouth College,Robinson Hall",2.6666666666666665
01:05:2013,61199.0,0.0,0.0,22801.0,0.0,0.0,2.0,0.0,0.0,60.0,"Dartmouth College,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",1.0
01:06:2013,3602.0,0.0,34798.0,0.0,0.0,0.0,5.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Hood Museum of Art,0",3.0
02:04:2013,45600.0,0.0,4799.0,44401.0,0.0,0.0,1.0,0.0,0.0,60.0,"Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Haldeman Center,Haldeman Center,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Robinson Hall",1.4285714285714286
02:05:2013,60698.0,0.0,10800.0,10832.0,1197.0,2528.0,3.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Mass Parking Lot,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Webster Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",3.0
03:04:2013,55202.0,0.0,1199.0,20400.0,0.0,0.0,2.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",2.0833333333333335
03:05:2013,88005.0,0.0,0.0,15685.0,0.0,0.0,4.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",4.0
04:04:2013,69596.0,0.0,6002.0,10801.0,0.0,0.0,3.0,0.0,0.0,60.0,"South Fairbanks,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Latin American, Latino/a, and Caribbean House,Chinese Language House,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.4285714285714284
04:05:2013,83253.0,0.0,0.0,0.0,2400.0,0.0,5.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Dartmouth College,Blunt Alumni Center Parking Lot,Dartmouth College,Dartmouth College,Dana Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.0
05:04:2013,20621.0,0.0,0.0,65779.0,0.0,0.0,4.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Wheeler Hall,Robinson Hall,Robinson Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall",1.6666666666666667
