date,home_time,recreational_activities,school_time,orthers,shopping,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,51605.0,16795.0,9601.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Carpenter Hall,Berry Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College",1.75
01:05:2013,65277.0,12724.0,3600.0,1200.0,0.0,0.0,0.0,2,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,The Church of Christ at Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library",1.2222222222222223
02:04:2013,78000.0,7199.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,9,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",1.0
02:05:2013,85200.0,0.0,1199.0,0.0,1200.0,0.0,0.0,3,1.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Park,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.5
03:04:2013,76801.0,4800.0,3600.0,0.0,0.0,1199.0,0.0,2,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
03:05:2013,68397.0,12001.0,1202.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,9,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,0,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
04:04:2013,79202.0,5998.0,1200.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,9,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Collis Student Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",1.0
04:05:2013,85201.0,0.0,0.0,3599.0,0.0,1200.0,0.0,5,0.0,0.0,9,"Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
05:04:2013,68400.0,13200.0,4800.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",1.0
05:05:2013,73336.0,15598.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth College,Maxwell Hall,Maxwell Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.0
