,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,66000.0,1200.0,1200.0,9600.0,8400.0,0.0,0.0,0,0.0,3900.0,3,"0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Big Tree,Collis Student Center,Collis Student Center",24131.0,3541.0,50.0,689.4571428571429,905.5722384170116,136.0,264.0,751.5,35.0,,4587.0,1201.0,1093.0,1146.75,45.65358693465389,1122.25,1146.5,1171.0,4.0,5.0
01:05:2013,66099.0,0.0,0.0,20400.0,0.0,0.0,0.0,2,0.0,10500.0,3,"Dartmouth College,Dartmouth College,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall",26812.0,5495.0,50.0,536.24,851.4398982947436,152.0,252.0,590.0,50.0,,13166.0,2481.0,1110.0,1462.888888888889,546.2033605820374,1200.0,1204.0,1205.0,9.0,
01:06:2013,17355.0,0.0,547.0,2505.0,0.0,0.0,0.0,5,0.0,0.0,3,"Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,0,Class of 1953 Commons,Dartmouth College,Dartmouth College",9544.0,2445.0,71.0,681.7142857142857,693.396371112892,208.75,463.5,890.5,14.0,,1263.0,663.0,600.0,631.5,44.54772721475249,615.75,631.5,647.25,2.0,
02:04:2013,60000.0,1200.0,16800.0,9600.0,0.0,0.0,0.0,1,0.0,6600.0,3,"Wilson Hall,Hood Museum of Art,Wilson Hall,Wilson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Alumni Gymnasium,0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",26022.0,6204.0,50.0,929.3571428571428,1559.6009512000585,115.75,227.0,918.0,28.0,,13111.0,2397.0,1151.0,1311.1,382.02310866694376,1200.0,1200.0,1200.0,10.0,
02:05:2013,53960.0,0.0,8399.0,24000.0,0.0,0.0,0.0,3,0.0,6900.0,3,"Hopkins Center for the Arts,Wilson Hall,Wilson Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts",7174.0,3623.0,50.0,652.1818181818181,1006.7597348108256,234.5,313.0,609.0,11.0,,5999.0,4799.0,1200.0,2999.5,2544.8773054903845,2099.75,2999.5,3899.25,2.0,
03:04:2013,58803.0,0.0,0.0,21600.0,4797.0,0.0,0.0,2,0.0,10500.0,3,"Dartmouth College,Sigma Alpha Epsilon Fraternity,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College",3723.0,1392.0,40.0,248.2,342.114057839529,101.0,141.0,187.0,15.0,1.0,4737.0,1200.0,1137.0,1184.25,31.5,1184.25,1200.0,1200.0,4.0,1.0
03:05:2013,55200.0,0.0,10800.0,24676.0,2400.0,2398.0,0.0,4,0.0,3000.0,3,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Wilder Hall,0,Dartmouth College,Kemeny Hall,Moore Psychology Building,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dana Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Robinson Hall,Robinson Hall,Collis Student Center,Hopkins Center for the Arts",8645.0,4307.0,61.0,665.0,1164.6806429232006,120.0,212.0,635.0,13.0,1.0,7126.0,1206.0,1130.0,1187.6666666666667,29.452787078079155,1187.25,1201.5,1203.75,6.0,1.0
04:04:2013,62399.0,0.0,7201.0,18000.0,0.0,0.0,0.0,3,0.0,6900.0,3,"Wilson Hall,Wilson Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College",18154.0,3339.0,71.0,1296.7142857142858,1152.62505936342,435.75,897.0,2013.75,14.0,1.0,5828.0,1200.0,1114.0,1165.6,37.71339284657375,1141.0,1173.0,1200.0,5.0,2.0
04:05:2013,68880.0,0.0,1200.0,9115.0,0.0,0.0,0.0,5,0.0,0.0,3,"Wilson Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College",37775.0,4054.0,51.0,1079.2857142857142,1192.314668578544,166.5,524.0,1816.0,35.0,,13861.0,1208.0,604.0,1066.2307692307693,250.50953203625932,1124.0,1205.0,1205.0,13.0,
05:04:2013,57600.0,0.0,0.0,25200.0,0.0,2400.0,0.0,4,0.0,3000.0,3,"Dartmouth College,Dartmouth College,0,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Rockefeller Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College",14720.0,3662.0,60.0,700.952380952381,1075.187075638025,101.0,241.0,595.0,21.0,1.0,13199.0,8398.0,4801.0,6599.5,2543.4630919280116,5700.25,6599.5,7498.75,2.0,1.0
