,home_time,orthers,school_time,recreational_activities,travel_time,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,12001.0,34799.0,73199.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,35.0,"0,Anonymous Hall,Anonymous Hall,Class of 1953 Commons,Class of 1953 Commons,0,0,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall",35447.0,4593.0,51.0,723.4081632653061,934.979231462018,141.0,363.0,988.0,49.0,,25082.0,13200.0,1.0,3135.25,4448.5066755999305,1154.5,1199.5,2400.0,8.0,4.0
02:04:2013,0.0,46800.0,2400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,"Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,0",39606.0,4085.0,51.0,1164.8823529411766,1078.323439551049,302.25,746.0,1593.75,34.0,,12296.0,4185.0,1.0,1756.571428571429,1344.5153844592555,1106.5,1197.0,2350.0,7.0,
03:04:2013,0.0,36172.0,44401.0,4628.0,3600.0,0.0,0.0,2.0,0.0,3900.0,35.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dana Circle Parking Lot,Anonymous Hall,0,0,Anonymous Hall,Anonymous Hall,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",28107.0,4165.0,50.0,653.6511627906976,882.9283496713523,101.0,312.0,721.0,43.0,1.0,19707.0,4801.0,738.0,1791.5454545454545,1493.2722701260052,1147.0,1197.0,1218.5,11.0,2.5
04:04:2013,0.0,50122.0,32341.0,1259.0,0.0,0.0,0.0,3.0,0.0,3900.0,35.0,"Anonymous Hall,Anonymous Hall,Remsen Medical Sciences Building,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0",14635.0,3348.0,71.0,665.2272727272727,748.7087889489148,179.5,418.5,962.5,22.0,,2400.0,1200.0,1.0,800.0,691.9544782715117,600.0,1199.0,1199.5,3.0,
05:04:2013,6000.0,37199.0,40801.0,2399.0,0.0,0.0,0.0,4.0,0.0,3000.0,35.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,Anonymous Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall,Six South Street",30244.0,3993.0,30.0,643.4893617021277,894.3868162368448,120.5,292.0,650.0,47.0,1.0,20785.0,3600.0,1177.0,2309.4444444444443,875.0534428123678,1814.0,2395.0,2400.0,9.0,1.0
06:04:2013,0.0,50197.0,34800.0,0.0,203.0,0.0,0.0,5.0,0.0,0.0,35.0,"Anonymous Hall,Anonymous Hall,Dana Parking Lot,Irving,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0,0,0,0",34852.0,4725.0,60.0,917.157894736842,1074.674118457281,252.0,464.5,1180.25,38.0,,17423.0,10803.0,1620.0,4355.75,4318.958005121142,2202.75,2500.0,4653.0,4.0,
07:04:2013,38400.0,44400.0,7200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,35.0,"0,0,0,0,0,Class of 1953 Commons",12794.0,7684.0,92.0,1163.090909090909,2189.3982029108115,342.0,484.0,665.0,11.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
08:04:2013,0.0,0.0,101233.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,35.0,"Class of 1953 Commons,Anonymous Hall",11758.0,1976.0,70.0,511.2173913043478,527.531899640524,182.0,313.0,544.5,23.0,,,,,,,,,,,
08:05:2013,0.0,0.0,74912.0,0.0,1201.0,6000.0,0.0,2.0,0.0,3900.0,35.0,"Sudikoff Hall,Sudikoff Hall,Wheelock Office Park,0,Sudikoff Hall",14771.0,1805.0,60.0,547.074074074074,430.7538942121329,192.0,424.0,821.5,27.0,,9595.0,2399.0,1197.0,1370.7142857142858,453.43346233147014,1199.0,1200.0,1200.5,7.0,
09:04:2013,1202.0,42000.0,22800.0,1198.0,1200.0,0.0,0.0,1.0,0.0,0.0,35.0,"Anonymous Hall,Dana Circle Parking Lot,Class of 1953 Commons,Dartmouth College,Baker Memorial Library,Remsen Medical Sciences Building,Anonymous Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",30057.0,2794.0,50.0,667.9333333333333,695.7591798630015,172.0,363.0,1002.0,45.0,,17997.0,2400.0,1200.0,1999.6666666666667,599.7507815751472,1200.0,2400.0,2400.0,9.0,
09:05:2013,0.0,0.0,163354.0,0.0,0.0,0.0,0.0,3.0,0.0,3900.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons",,,,,,,,,,,25200.0,4800.0,1200.0,2290.909090909091,1465.233459524144,1200.0,1200.0,3000.0,11.0,
10:04:2013,0.0,130537.0,34801.0,0.0,0.0,0.0,1199.0,2.0,0.0,3900.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hanover Park,Anonymous Hall,Anonymous Hall,Remsen Medical Sciences Building,Remsen Medical Sciences Building,Anonymous Hall,Anonymous Hall,Sudikoff Hall,Anonymous Hall,0,0,0,0",9885.0,4185.0,71.0,1235.625,1374.9604604704614,241.75,985.0,1333.0,8.0,,7792.0,3042.0,1200.0,1948.0,908.7441884270844,1200.0,1775.0,2523.0,4.0,
10:05:2013,4800.0,1199.0,1200.0,0.0,0.0,0.0,0.0,4.0,1.0,3000.0,35.0,"0,Dartmouth College,Dartmouth College,Sudikoff Hall",8537.0,3532.0,61.0,609.7857142857143,1073.7928591658656,111.0,226.5,298.0,14.0,,2403.0,2403.0,2403.0,2403.0,,2403.0,2403.0,2403.0,1.0,
11:04:2013,3599.0,2401.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,35.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse",18613.0,5556.0,141.0,1094.8823529411766,1398.61506866404,352.0,777.0,958.0,17.0,,8405.0,2400.0,3.0,1200.7142857142858,691.9548911804667,1200.0,1200.0,1201.0,7.0,
11:05:2013,0.0,6001.0,42000.0,0.0,0.0,39600.0,0.0,5.0,0.0,0.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park,0",14391.0,1855.0,60.0,359.775,424.3718427245567,95.25,197.0,408.25,40.0,,15604.0,2400.0,1200.0,1733.7777777777778,632.0345674442533,1200.0,1203.0,2400.0,9.0,
12:04:2013,1197.0,46800.0,38403.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Anonymous Hall,Anonymous Hall,0,0,0",21411.0,2864.0,50.0,486.6136363636364,583.2632424920015,151.0,252.0,579.25,44.0,,12012.0,2400.0,431.0,1501.5,789.1861992856041,1095.25,1200.0,2400.0,8.0,
12:05:2013,0.0,21830.0,39599.0,0.0,0.0,36000.0,0.0,-1.0,0.0,0.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park,0",16257.0,2056.0,40.0,318.7647058823529,373.4338810678696,111.0,181.0,353.0,51.0,,26406.0,6000.0,6.0,3772.285714285714,2340.550484699822,2400.0,3600.0,6000.0,7.0,
13:04:2013,6000.0,44400.0,18001.0,0.0,20399.0,0.0,0.0,5.0,0.0,0.0,35.0,"Anonymous Hall,Anonymous Hall,0,Vail Dartmouth Medical School,0,0,0",13011.0,2097.0,50.0,565.695652173913,590.5192195149966,131.5,353.0,837.0,23.0,,27964.0,9599.0,41.0,2796.4,3638.5264172311417,1136.75,1203.0,2120.5,10.0,
13:05:2013,66779.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,1.0,3900.0,35.0,"Wheelock Office Park,Dartmouth College,0",9529.0,2330.0,51.0,529.3888888888889,624.0712759904432,164.25,277.0,710.5,18.0,,7198.0,1200.0,1198.0,1199.6666666666667,0.816496580927726,1200.0,1200.0,1200.0,6.0,
14:04:2013,2401.0,135747.0,0.0,8688.0,18911.0,0.0,0.0,-1.0,0.0,0.0,35.0,"0,0,0,Hopkins Center for the Arts,0,0,0",4236.0,2068.0,918.0,1412.0,591.8682285779496,1084.0,1250.0,1659.0,3.0,,2404.0,2404.0,2404.0,2404.0,,2404.0,2404.0,2404.0,1.0,
14:05:2013,31200.0,0.0,0.0,0.0,0.0,45600.0,0.0,1.0,0.0,0.0,35.0,"0,Wheelock Office Park",25164.0,2331.0,50.0,585.2093023255813,642.7224668822586,101.0,282.0,752.0,43.0,,52767.0,38463.0,1157.0,5276.7,11671.62662233123,1200.0,1345.5,2313.75,10.0,
15:04:2013,0.0,3600.0,1203.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,35.0,"0,Sudikoff Hall",9046.0,1411.0,40.0,376.9166666666667,351.27456332700734,131.0,282.5,421.5,24.0,1.0,35143.0,9088.0,265.0,2703.3076923076924,2537.771672964801,1200.0,1201.0,3601.0,13.0,
15:05:2013,0.0,4801.0,406013.0,0.0,0.0,32400.0,0.0,2.0,0.0,3900.0,35.0,"0,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park,0,Thornton Hall,Dartmouth Hall",17685.0,2552.0,41.0,552.65625,566.6251312062642,138.5,428.5,703.25,32.0,,23287.0,8401.0,486.0,2117.0,2177.8343830512,1200.0,1200.0,2399.0,11.0,
