,home_time,school_time,recreational_activities,working,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,3600.0,46800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,36.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall",12619.0,4260.0,40.0,407.06451612903226,785.1875756991179,81.0,181.0,333.0,31.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,4.0
01:05:2013,4806.0,0.0,20393.0,0.0,0.0,0.0,0.0,2.0,1.0,7800.0,36.0,"0,C&A Pizza",18339.0,3551.0,40.0,733.56,799.1797399000221,252.0,444.0,969.0,25.0,,22793.0,10799.0,1201.0,7597.666666666667,5539.6766451963,5997.0,10793.0,10796.0,3.0,
01:06:2013,1210.0,3601.0,7199.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"0,Class of 1953 Commons,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall",,,,,,,,,,,,,,,,,,,,
02:04:2013,49200.0,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"Anonymous Hall,0,0",34109.0,3581.0,50.0,921.8648648648648,905.8620866998024,302.0,565.0,1240.0,37.0,1.0,1764.0,1617.0,147.0,882.0,1039.4469683442248,514.5,882.0,1249.5,2.0,1.0
02:05:2013,0.0,15601.0,0.0,226799.0,0.0,0.0,0.0,3.0,0.0,7800.0,36.0,"Wheelock Office Park,Class of 1953 Commons,Class of 1953 Commons,Wheelock Office Park",5538.0,877.0,60.0,251.72727272727272,220.7282711774133,81.0,156.5,347.75,22.0,1.0,12000.0,6000.0,1200.0,4000.0,2497.9991993593594,3000.0,4800.0,5400.0,3.0,1.0
03:04:2013,51600.0,37200.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0",22338.0,2440.0,30.0,519.4883720930233,574.8343186599001,101.0,332.0,690.5,43.0,1.0,6000.0,3604.0,1.0,1500.0,1511.8260481946988,895.75,1197.5,1801.75,4.0,1.0
04:04:2013,46801.0,33600.0,0.0,0.0,1199.0,0.0,0.0,3.0,0.0,7800.0,36.0,"Anonymous Hall,Anonymous Hall,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",14611.0,5587.0,61.0,859.4705882352941,1416.5064471105957,181.0,373.0,787.0,17.0,2.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,3.0
05:04:2013,61200.0,22802.0,1199.0,0.0,0.0,3599.0,0.0,4.0,0.0,6000.0,36.0,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall,0",22873.0,4712.0,70.0,914.92,1442.4110868033888,101.0,262.0,615.0,25.0,2.0,8191.0,1203.0,1106.0,1170.142857142857,41.44244431107063,1142.0,1198.0,1200.0,7.0,4.0
05:05:2013,158401.0,0.0,0.0,4799.0,0.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,Wheelock Office Park,0",7594.0,3591.0,61.0,506.26666666666665,875.8442838334961,90.5,273.0,453.0,15.0,,3657.0,1264.0,1192.0,1219.0,39.230090491866065,1196.5,1201.0,1232.5,3.0,
06:04:2013,207600.0,37200.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"Anonymous Hall,Anonymous Hall,0",22448.0,5323.0,60.0,801.7142857142857,1147.1499581375692,136.75,383.0,948.0,28.0,2.0,113685.0,109777.0,1198.0,28421.25,54237.36481660959,1199.5,1355.0,28576.75,4.0,5.0
06:05:2013,3600.0,2401.0,0.0,0.0,5999.0,0.0,0.0,0.0,1.0,7800.0,36.0,"0,Dartmouth College,Class of 1953 Commons,F Lot Parking",10984.0,2501.0,70.0,457.6666666666667,599.5455283627008,81.0,186.5,457.25,24.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
08:04:2013,1200.0,26400.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,7800.0,36.0,"0,0,Class of 1978 Life Sciences Center,Anonymous Hall",14089.0,1583.0,41.0,426.93939393939394,425.1736365440845,151.0,252.0,534.0,33.0,,3899.0,1971.0,728.0,1299.6666666666667,627.4650056643266,964.0,1200.0,1585.5,3.0,
08:05:2013,3598.0,30002.0,0.0,217200.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,"0,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park",6242.0,968.0,70.0,367.1764705882353,312.0320967653243,81.0,283.0,585.0,17.0,1.0,6000.0,6000.0,6000.0,6000.0,,6000.0,6000.0,6000.0,1.0,1.0
