,school_time,travel_time,home_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,35999.0,49581.0,0.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,North Main Street,Sudikoff Hall,North Main Street",20205.0,1825.0,40.0,360.8035714285714,382.6897827290334,107.75,222.0,419.0,56.0,,14499.0,5894.0,5.0,1812.375,1771.9583143677908,1165.25,1200.0,1704.75,8.0,1.0
01:05:2013,3600.0,68400.0,0.0,0.0,0.0,2.0,1.0,10500.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street",,,,,,,,,,,24356.0,3598.0,1200.0,1873.5384615384617,774.567364768296,1202.0,1532.0,2400.0,13.0,1.0
01:06:2013,25800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",2251.0,626.0,71.0,375.1666666666667,229.29929495457824,199.75,403.5,562.25,6.0,,4200.0,1795.0,600.0,1050.0,570.978691955021,603.75,902.5,1348.75,4.0,
02:04:2013,60000.0,31200.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"Sudikoff Hall,Sudikoff Hall,North Main Street",12019.0,2511.0,60.0,364.2121212121212,474.6395183173066,121.0,201.0,434.0,33.0,,6780.0,1202.0,778.0,1130.0,172.44593355599892,1200.0,1200.0,1200.0,6.0,
02:05:2013,27606.0,32400.0,33594.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Sudikoff Hall,Life Sciences Greenhouse",16005.0,1840.0,60.0,432.5675675675676,423.0492840044723,141.0,303.0,474.0,37.0,1.0,15606.0,3602.0,1200.0,1734.0,1057.9239103073528,1200.0,1200.0,1204.0,9.0,
03:04:2013,37200.0,55200.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street,Sudikoff Hall,North Main Street",13679.0,2613.0,50.0,333.6341463414634,435.09319439044094,111.0,232.0,373.0,41.0,1.0,8098.0,1577.0,613.0,1156.857142857143,282.4307753364404,1150.5,1200.0,1203.5,7.0,1.0
03:05:2013,14400.0,33600.0,3600.0,72360.0,0.0,4.0,0.0,3000.0,37.0,"Guarini Institute for International Education,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Life Sciences Greenhouse,0,0",12384.0,2833.0,60.0,458.6666666666667,569.6003322168434,131.0,272.0,534.5,27.0,1.0,70544.0,47749.0,1197.0,7838.222222222223,15474.347706589911,1200.0,1200.0,2395.0,9.0,1.0
04:04:2013,51600.0,118800.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,North Main Street",9669.0,1685.0,40.0,345.32142857142856,366.0631450863036,92.5,197.0,406.25,28.0,1.0,10826.0,2406.0,1200.0,1353.25,425.383440472912,1200.0,1204.0,1206.0,8.0,1.0
04:05:2013,96651.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,Sudikoff Hall,34745.0,8141.0,50.0,1930.2777777777776,2534.593593262347,214.25,766.5,2354.0,18.0,,40018.0,25261.0,14757.0,20009.0,7427.449629583495,17383.0,20009.0,22635.0,2.0,
05:05:2013,0.0,24000.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,North Main Street,11834.0,3459.0,70.0,696.1176470588235,942.834614497218,131.0,250.0,816.0,17.0,,11893.0,3600.0,1197.0,1982.1666666666667,972.6784497801248,1200.0,1748.0,2374.0,6.0,
06:04:2013,78000.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,Sudikoff Hall,5274.0,1221.0,70.0,479.45454545454544,412.4886334522113,171.5,313.0,767.0,11.0,1.0,19012.0,4794.0,1108.0,1901.2,1300.2450880079834,1196.25,1200.0,2100.0,10.0,2.5
06:05:2013,56398.0,3602.0,16800.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,North Main Street,Anonymous Hall,Life Sciences Greenhouse",8033.0,968.0,40.0,286.8928571428572,231.7799625899553,134.0,237.0,335.5,28.0,1.0,20340.0,7198.0,1157.0,2905.714285714286,2586.2756178390136,1189.0,1202.0,4202.5,7.0,1.0
07:04:2013,2400.0,69600.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,"North Main Street,Sudikoff Hall,North Main Street",,,,,,,,,,,13196.0,2400.0,1196.0,1319.6,379.61594627553075,1200.0,1200.0,1200.0,10.0,2.0
08:04:2013,55200.0,36000.0,0.0,0.0,0.0,0.0,0.0,3900.0,37.0,"North Main Street,Sudikoff Hall",,,,,,,,,,,17957.0,6000.0,1148.0,1632.4545454545455,1448.6428382204056,1198.5,1202.0,1204.5,11.0,3.0
08:05:2013,48000.0,38400.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Sudikoff Hall",13274.0,1170.0,60.0,294.97777777777776,252.27676800840717,101.0,222.0,443.0,45.0,1.0,26793.0,6880.0,741.0,3827.571428571429,2706.482333038148,1147.0,4800.0,6039.0,7.0,1.0
09:04:2013,54000.0,62400.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street",5757.0,1089.0,50.0,261.6818181818182,289.78142606415423,80.0,141.0,340.25,22.0,1.0,8206.0,2400.0,1099.0,1367.6666666666667,508.00892380613425,1129.5,1200.0,1200.75,6.0,1.0
09:05:2013,49200.0,39600.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,North Main Street",11896.0,3802.0,60.0,566.4761904761905,830.770342456182,120.0,302.0,564.0,21.0,1.0,19206.0,2400.0,1200.0,1746.0,626.1584464015478,1200.0,1204.0,2400.0,11.0,1.0
10:04:2013,38400.0,43201.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street",13692.0,768.0,50.0,253.55555555555557,185.12684755468237,121.0,192.0,357.25,54.0,1.0,7831.0,1828.0,1200.0,1305.1666666666667,256.13622677525854,1200.0,1200.5,1201.75,6.0,1.0
10:05:2013,51600.0,6000.0,1200.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,North Main Street,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,North Main Street",13698.0,3438.0,60.0,472.3448275862069,821.6573093389651,111.0,172.0,363.0,29.0,,23392.0,8989.0,1200.0,2924.0,2959.806267791381,1200.0,1204.0,3298.75,8.0,
11:04:2013,3599.0,69600.0,0.0,0.0,0.0,3.0,1.0,6900.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street",21267.0,9594.0,50.0,787.6666666666666,1814.8217543329156,138.5,282.0,760.0,27.0,1.0,12517.0,2405.0,561.0,1564.625,714.2166413031033,1195.75,1202.5,2366.75,8.0,1.0
11:05:2013,22188.0,65414.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,"North Main Street,Sudikoff Hall,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Sudikoff Hall",11535.0,3176.0,50.0,549.2857142857143,780.0057142647831,201.0,312.0,545.0,21.0,,17499.0,9240.0,1118.0,2187.375,2849.901448797334,1183.25,1200.5,1202.75,8.0,
12:04:2013,55200.0,32400.0,0.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,Moore Psychology Building,Winfred-Raven House,Moore Psychology Building,Sudikoff Hall,Sudikoff Hall,North Main Street",16846.0,2037.0,40.0,366.2173913043478,473.05521937688223,93.5,201.5,401.25,46.0,1.0,14975.0,2405.0,515.0,1247.9166666666667,416.8122442655649,1199.75,1205.5,1207.5,12.0,2.5
12:05:2013,62400.0,28209.0,4798.0,0.0,0.0,-1.0,0.0,0.0,37.0,"0,0,0,Sudikoff Hall,Sudikoff Hall,North Main Street",10610.0,726.0,41.0,252.6190476190476,164.46779688955823,101.0,227.0,350.5,42.0,,29560.0,20840.0,1173.0,4222.857142857143,7350.95817855449,1189.0,1201.0,1984.0,7.0,
13:04:2013,24000.0,70980.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street",8530.0,1341.0,40.0,341.2,324.6482712105518,90.0,272.0,525.0,25.0,1.0,10826.0,3600.0,1.0,1546.571428571429,1140.539471353046,1173.5,1205.0,1836.5,7.0,2.0
13:05:2013,62400.0,44400.0,1200.0,0.0,0.0,0.0,0.0,3900.0,37.0,"0,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,Sudikoff Hall,Hanover Street",3487.0,1260.0,50.0,290.5833333333333,340.25697730694753,108.5,161.0,314.75,12.0,,8553.0,1206.0,155.0,1069.125,369.3799582698398,1195.5,1200.0,1200.5,8.0,
14:04:2013,12000.0,48000.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street",14418.0,1160.0,30.0,360.45,269.13307641483385,176.0,323.0,439.25,40.0,1.0,32629.0,4801.0,1107.0,2175.266666666667,1294.7037977118644,1205.0,1397.0,2445.0,15.0,2.0
14:05:2013,49200.0,9600.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,Sudikoff Hall",10892.0,1310.0,50.0,302.55555555555554,266.50440301315257,100.75,197.0,395.75,36.0,,8500.0,3598.0,1200.0,2125.0,1158.031087665612,1200.0,1851.0,2776.0,4.0,
15:04:2013,70801.0,10800.0,4799.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,North Main Street",10438.0,1391.0,50.0,289.94444444444446,309.8447486306138,78.5,171.5,405.75,36.0,1.0,15139.0,2458.0,892.0,1261.5833333333333,388.0298625652725,1171.0,1196.5,1200.5,12.0,1.0
15:05:2013,42600.0,25800.0,14400.0,0.0,0.0,2.0,0.0,10500.0,37.0,"0,0,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street",19351.0,2663.0,40.0,439.79545454545456,552.8925451572721,81.0,212.0,516.75,44.0,,16798.0,8395.0,519.0,2099.75,2937.9721748171814,598.5,604.0,1713.0,8.0,
16:04:2013,46801.0,79200.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"North Main Street,Sudikoff Hall",6332.0,706.0,51.0,211.06666666666663,183.6334304575537,73.25,136.0,305.25,30.0,1.0,8605.0,2401.0,1200.0,1721.0,624.6707132561922,1200.0,1407.0,2397.0,5.0,2.0
16:05:2013,8400.0,81601.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,Hanover Street,Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",6591.0,870.0,40.0,227.27586206896552,222.16449770251063,81.0,111.0,262.0,29.0,1.0,15875.0,4198.0,578.0,1443.1818181818182,1192.1270752886892,601.0,922.0,1797.0,11.0,1.0
17:04:2013,10798.0,12000.0,27601.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street,0,North Main Street,0,North Main Street,0,Sudikoff Hall",,,,,,,,,,,7160.0,1201.0,1.0,795.5555555555555,595.994150791581,1.0,1193.0,1200.0,9.0,2.0
17:05:2013,10800.0,33601.0,39000.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,0,Sudikoff Hall,North Main Street,Dartmouth College,Dartmouth College",,,,,,,,,,,17812.0,1800.0,521.0,890.6,425.60228531242393,597.0,601.0,1196.5,20.0,1.0
18:04:2013,60000.0,12001.0,15600.0,0.0,0.0,3.0,0.0,6900.0,37.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street",,,,,,,,,,,303167.0,299585.0,1182.0,75791.75,149195.50024129415,1195.5,1200.0,75796.25,4.0,1.0
18:05:2013,162875.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,Sudikoff Hall",7935.0,1661.0,61.0,330.625,362.1435954088546,133.5,207.5,385.0,24.0,1.0,6328.0,1800.0,480.0,904.0,595.7180541162069,545.0,605.0,1176.5,7.0,1.0
19:04:2013,37200.0,0.0,0.0,0.0,44045.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A Satellite",15627.0,2622.0,30.0,488.34375,612.971272777118,158.5,297.5,484.75,32.0,,,,,,,,,,,
19:05:2013,0.0,48000.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,North Main Street,3756.0,554.0,60.0,208.66666666666663,160.3048566289354,83.25,151.0,277.25,18.0,1.0,13532.0,2396.0,46.0,902.1333333333332,617.1775464236559,599.0,603.0,1197.0,15.0,1.0
20:04:2013,0.0,0.0,18001.0,0.0,71939.0,5.0,0.0,0.0,37.0,"Hartsfield–Jackson Atlanta International Airport,0,0",48068.0,8302.0,71.0,1068.1777777777777,1469.910638732364,343.0,636.0,1161.0,45.0,1.0,,,,,,,,,,1.0
20:05:2013,18000.0,52200.0,1200.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street",12682.0,2115.0,40.0,317.05,399.0449463791883,98.5,181.0,368.0,40.0,1.0,9507.0,2400.0,489.0,864.2727272727273,566.1840850658186,599.0,602.0,919.0,11.0,1.0
21:04:2013,0.0,0.0,84003.0,0.0,0.0,-1.0,0.0,0.0,37.0,0,21378.0,5073.0,50.0,712.6,1029.4761506842135,204.25,423.5,721.0,30.0,,,,,,,,,,,
22:04:2013,0.0,0.0,130800.0,0.0,70796.0,0.0,1.0,3900.0,37.0,"California State Capitol,California State Capitol,California State Capitol,California State Capitol,California State Capitol,0",18404.0,2430.0,50.0,428.0,588.9035817274578,101.0,171.0,414.0,43.0,,246000.0,246000.0,246000.0,246000.0,,246000.0,246000.0,246000.0,1.0,
22:05:2013,31801.0,21599.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street",11378.0,1023.0,40.0,270.9047619047619,248.65627264959696,91.0,151.0,345.25,42.0,2.0,11721.0,3000.0,487.0,837.2142857142857,664.492539585536,549.0,600.0,666.0,14.0,4.0
23:05:2013,64800.0,49800.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,North Main Street",3515.0,746.0,50.0,234.33333333333331,222.1041154396696,80.5,131.0,338.0,15.0,1.0,17189.0,2400.0,516.0,1074.3125,588.093498093628,600.0,851.0,1347.75,16.0,1.0
24:04:2013,0.0,0.0,27605.0,0.0,50395.0,2.0,1.0,10500.0,37.0,"0,Sutphin Boulevard,Concourse A,Concourse A,Concourse A",39906.0,5528.0,60.0,604.6363636363636,946.1819736566148,156.0,318.0,662.75,66.0,,,,,,,,,,,
24:05:2013,34200.0,27000.0,0.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,North Main Street",4593.0,716.0,60.0,306.2,219.7066875892233,126.0,222.0,473.5,15.0,1.0,49111.0,23397.0,518.0,3069.4375,6032.913546745055,581.5,937.5,1802.25,16.0,1.0
25:04:2013,15600.0,76800.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"South Station Pick-up/Drop-off Parking,Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",12786.0,1331.0,60.0,319.65,323.2985878767133,131.0,191.5,365.5,40.0,,20945.0,2404.0,578.0,1396.3333333333333,543.4145571774656,1200.0,1200.0,1201.0,15.0,
25:05:2013,5406.0,96000.0,28797.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",,,,,,,,,,,7708.0,2766.0,494.0,856.4444444444445,742.2346514262034,513.0,561.0,600.0,9.0,
26:04:2013,4800.0,92317.0,0.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,Steele Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",9398.0,1735.0,50.0,324.0689655172414,351.7582297782793,101.0,191.0,403.0,29.0,,9602.0,1226.0,1175.0,1200.25,13.6355627470439,1200.0,1200.0,1200.25,8.0,
26:05:2013,0.0,42600.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",,,,,,,,,,,30916.0,15994.0,498.0,2810.5454545454545,4483.323284431681,599.5,1800.0,2682.5,11.0,
27:03:2013,162991.0,0.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,Sudikoff Hall,1895.0,1683.0,212.0,947.5,1040.1540751254115,579.75,947.5,1315.25,2.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
27:04:2013,6000.0,80401.0,3600.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street",6961.0,877.0,51.0,210.93939393939397,176.33613841785584,90.0,162.0,282.0,33.0,,18003.0,2400.0,1200.0,1500.25,542.5699996732722,1200.0,1200.0,1501.5,12.0,
27:05:2013,7200.0,48600.0,26799.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,Sudikoff Hall,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",12340.0,2764.0,50.0,352.57142857142856,494.4658606971345,81.0,191.0,443.5,35.0,,11920.0,5997.0,517.0,1192.0,1699.342291070937,600.0,600.0,603.5,10.0,
28:04:2013,3599.0,82800.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",9314.0,666.0,30.0,232.85,174.748984810521,101.0,191.0,280.25,40.0,,23885.0,5995.0,1196.0,2388.5,1599.6263626234722,1200.0,1746.0,3299.25,10.0,
28:05:2013,5400.0,88779.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"Sudikoff Hall,North Main Street",6784.0,1119.0,30.0,218.83870967741936,223.456199552126,80.0,172.0,247.0,31.0,,1800.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,3.0,
29:03:2013,43200.0,51600.0,0.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,North Main Street",21062.0,4740.0,61.0,569.2432432432432,807.4992743514251,131.0,413.0,574.0,37.0,,14077.0,2400.0,878.0,1407.7,532.52982180448,1200.0,1200.0,1200.0,10.0,
29:04:2013,30684.0,138516.0,0.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,North Main Street",6658.0,1492.0,40.0,391.6470588235294,458.2304198185219,71.0,184.0,514.0,17.0,1.0,22796.0,2401.0,1196.0,1424.75,483.20120032963496,1200.0,1200.0,1201.5,16.0,1.0
29:05:2013,79193.0,13207.0,1200.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,Life Sciences Greenhouse,Sudikoff Hall",21190.0,2583.0,40.0,392.4074074074074,470.30967391502514,111.0,197.0,448.25,54.0,,4589.0,1213.0,501.0,655.5714285714286,248.8338516245041,539.5,588.0,604.0,7.0,
