,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:05:2013,69599.0,14400.0,0.0,0.0,0.0,0.0,2.0,0.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",16262.0,2330.0,40.0,580.7857142857143,642.7448867303337,128.5,297.5,867.25,28.0,0.0,9657.0,2447.0,1166.0,1379.571428571429,471.23591301415655,1200.0,1200.0,1222.0,7.0,3.0
02:04:2013,70803.0,5997.0,1199.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth Co-Op,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",25753.0,4790.0,31.0,628.1219512195122,832.3135585559673,111.0,352.0,867.0,41.0,1.0,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,1.5
02:05:2013,81824.0,4800.0,0.0,0.0,0.0,0.0,3.0,0.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",22480.0,1936.0,30.0,749.3333333333334,566.0017870894983,254.5,600.5,1096.5,30.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
03:04:2013,79201.0,7202.0,0.0,1197.0,0.0,0.0,2.0,0.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Dartmouth College",20927.0,2420.0,81.0,804.8846153846154,747.0088260213839,171.0,458.5,1454.25,26.0,1.0,2398.0,1201.0,1197.0,1199.0,2.8284271247461903,1198.0,1199.0,1200.0,2.0,2.0
03:05:2013,81600.0,4800.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,44.0,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",17959.0,4195.0,60.0,427.5952380952381,680.007893050454,133.5,272.0,370.5,42.0,1.0,8380.0,1200.0,1189.0,1197.142857142857,3.804758924845368,1197.0,1198.0,1199.5,7.0,1.0
04:04:2013,79200.0,7200.0,0.0,0.0,0.0,0.0,3.0,0.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center",20979.0,3308.0,80.0,839.16,931.2195713149504,162.0,403.0,1341.0,25.0,1.0,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,1.75
04:05:2013,85734.0,3600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",13505.0,1826.0,61.0,482.32142857142856,460.06086985121215,128.5,328.0,646.0,28.0,,4127.0,611.0,548.0,589.5714285714286,25.251119730005,579.5,600.0,604.5,7.0,
05:04:2013,76800.0,7199.0,2401.0,0.0,0.0,0.0,4.0,0.0,3000.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",20682.0,4730.0,60.0,574.5,862.3873342563156,131.0,232.0,615.25,36.0,1.0,95217.0,92817.0,1200.0,31739.0,52895.09961234594,1200.0,1200.0,47008.5,3.0,1.4
05:05:2013,85672.0,10799.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,44.0,"Class of 1953 Commons,Dartmouth College,Parker House,Sudikoff Hall,Parker House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3486.0,2128.0,50.0,387.3333333333333,668.711634413519,80.0,110.0,352.0,9.0,,4800.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,8.0,
06:04:2013,5584.0,0.0,0.0,157616.0,0.0,0.0,5.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",25674.0,3571.0,30.0,503.4117647058824,670.7384639774459,116.0,212.0,656.5,51.0,1.0,97059.0,97059.0,97059.0,97059.0,,97059.0,97059.0,97059.0,1.0,2.8
06:05:2013,85367.0,6605.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",2773.0,474.0,50.0,252.0909090909091,158.07621867026964,106.0,312.0,383.5,11.0,,2415.0,657.0,11.0,483.0,266.0610832121075,570.0,577.0,600.0,5.0,
07:04:2013,0.0,6002.0,0.0,3598.0,0.0,0.0,-1.0,0.0,0.0,44.0,"Cronkhite Center,Cronkhite Center,Toscanni",27403.0,3431.0,70.0,498.2363636363637,647.6854507379668,115.5,282.0,464.0,55.0,1.0,,,,,,,,,,2.75
