,home_time,school_time,travel_time,orthers,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:05:2013,79200.0,6000.0,0.0,0.0,0.0,2.0,1.0,11700.0,45.0,"0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",15529.0,3389.0,40.0,517.6333333333333,751.4156516929863,105.75,272.0,564.75,30.0,1.0,10796.0,1202.0,1197.0,1199.5555555555557,1.5898986690282426,1198.0,1200.0,1200.0,9.0,1.0
02:05:2013,9600.0,76800.0,0.0,0.0,0.0,3.0,0.0,7800.0,45.0,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",9226.0,1826.0,41.0,341.7037037037037,434.789234069426,85.5,131.0,484.0,27.0,1.0,7193.0,1202.0,1195.0,1198.8333333333333,2.9944392908634274,1196.5,1199.0,1201.5,6.0,1.0
03:04:2013,40804.0,30000.0,0.0,0.0,0.0,2.0,0.0,11700.0,45.0,"Sudikoff Hall,0,0,0,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,0",10794.0,2461.0,70.0,830.3076923076923,894.0171870659035,101.0,241.0,1704.0,13.0,2.0,16793.0,5998.0,1197.0,1679.3,1517.4375366972367,1198.0,1200.0,1200.75,10.0,4.0
03:05:2013,57600.0,30001.0,0.0,0.0,0.0,4.0,0.0,9000.0,45.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",16723.0,3480.0,71.0,643.1923076923077,855.2350329227993,151.0,268.0,559.5,26.0,1.0,5998.0,3600.0,1198.0,1999.3333333333333,1386.2183570178738,1199.0,1200.0,2400.0,3.0,1.0
04:04:2013,46797.0,38400.0,0.0,0.0,0.0,3.0,0.0,7800.0,45.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0",7323.0,1159.0,50.0,332.8636363636364,297.15625125906007,118.5,242.0,432.25,22.0,2.0,11997.0,3598.0,1198.0,1713.857142857143,943.580844190793,1199.5,1200.0,1801.0,7.0,3.1666666666666665
04:05:2013,3600.0,85199.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Remsen Medical Sciences Building",101.0,101.0,101.0,101.0,,101.0,101.0,101.0,1.0,1.0,16802.0,2402.0,1195.0,1527.4545454545455,560.6236462434248,1198.5,1203.0,1801.5,11.0,1.0
05:04:2013,11999.0,74400.0,0.0,0.0,0.0,4.0,0.0,9000.0,45.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Class of 1978 Life Sciences Center,0",18936.0,3814.0,20.0,461.8536585365854,687.2495384129264,101.0,221.0,555.0,41.0,2.0,9601.0,2400.0,1199.0,1371.571428571429,453.49489418031936,1200.0,1200.0,1201.0,7.0,3.25
05:05:2013,84000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,"0,0,0,0,0,0,0,0",6226.0,1261.0,61.0,259.4166666666667,262.77646586879257,91.0,207.0,293.5,24.0,1.0,4797.0,1201.0,1197.0,1199.25,1.707825127659933,1198.5,1199.5,1200.25,4.0,1.0
06:04:2013,64800.0,39600.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,0,0,0",15195.0,2482.0,60.0,361.7857142857143,478.4535829215338,133.5,196.5,350.5,42.0,1.0,2401.0,1200.0,1.0,800.3333333333334,692.2429727583614,600.5,1200.0,1200.0,3.0,2.5
06:05:2013,50209.0,86399.0,0.0,0.0,0.0,0.0,0.0,11700.0,45.0,"0,0,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",4916.0,1280.0,70.0,327.7333333333333,385.2538062603603,100.5,151.0,342.5,15.0,1.0,1193.0,1193.0,1193.0,1193.0,,1193.0,1193.0,1193.0,1.0,2.5
07:04:2013,67197.0,1203.0,0.0,0.0,0.0,-1.0,0.0,0.0,45.0,"Sudikoff Hall,Thomas Hall,0,0",3762.0,907.0,80.0,313.5,249.8877930009969,149.25,232.0,373.0,12.0,1.0,15599.0,7200.0,1198.0,2228.4285714285716,2237.422390247526,1199.0,1201.0,1801.0,7.0,1.0
08:04:2013,74399.0,12001.0,0.0,0.0,0.0,0.0,0.0,11700.0,45.0,"0,Sudikoff Hall,0,0,0,0,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",17363.0,4096.0,41.0,667.8076923076923,983.5557948273506,154.5,257.5,621.0,26.0,1.0,22605.0,4708.0,1179.0,1883.75,1167.331153840791,1199.25,1201.0,2400.75,12.0,2.3333333333333335
08:05:2013,33600.0,43200.0,0.0,0.0,0.0,2.0,0.0,11700.0,45.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall",16838.0,3278.0,60.0,623.6296296296297,791.4903735333813,191.5,343.0,650.0,27.0,1.0,5949.0,1200.0,1152.0,1189.8,21.14710382061808,1198.0,1199.0,1200.0,5.0,2.0
