,home_time,recreational_activities,school_time,travel_time,orthers,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,2400.0,4800.0,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,6.0,"North Massachusetts Hall,Dartmouth College,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",21540,2250.0,50.0,742.7586206896551,636.35590082305,151.0,666.0,1109.0,29.0,,3596.0,2400.0,1.0,1198.6666666666667,1199.5042031328333,598.0,1195.0,1797.5,3.0,
01:05:2013,48000.0,6000.0,16800.0,0.0,0.0,0.0,0.0,2.0,0.0,11700.0,6.0,"Sudikoff Hall,Class of 1953 Commons,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,North Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0",24528,4287.0,60.0,613.2,940.3767984573648,81.0,177.0,575.25,40.0,,2364.0,1200.0,1164.0,1182.0,25.45584412271571,1173.0,1182.0,1191.0,2.0,
02:04:2013,61200.0,8401.0,15599.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,North Massachusetts Hall,Andres Hall,North Massachusetts Hall,Collis Student Center,Alumni Gymnasium,Hopkins Center for the Arts,North Massachusetts Hall,North Massachusetts Hall",16406,4034.0,70.0,420.6666666666667,883.1690645008056,100.0,131.0,277.5,39.0,,,,,,,,,,,
02:05:2013,127200.0,1200.0,30000.0,0.0,0.0,0.0,0.0,3.0,0.0,7800.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,North Massachusetts Hall",13127,4951.0,51.0,397.7878787878788,839.2375169452835,101.0,222.0,373.0,33.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
03:04:2013,48000.0,3599.0,33602.0,2399.0,0.0,0.0,0.0,2.0,0.0,11700.0,6.0,"Sudikoff Hall,Sudikoff Hall,Mass Parking Lot,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Mass Parking Lot,North Massachusetts Hall,0",30698,4084.0,60.0,1023.2666666666668,1185.7644103200305,163.5,630.0,1376.0,30.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
03:05:2013,7200.0,6000.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,6.0,"North Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0",20956,4417.0,70.0,873.1666666666666,1207.7987403129089,136.75,237.0,960.25,24.0,,8401.0,3597.0,1.0,1680.2,1367.2471246998475,1200.0,1200.0,2403.0,5.0,
04:04:2013,29999.0,8400.0,14401.0,32400.0,0.0,0.0,0.0,3.0,0.0,7800.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Mass Parking Lot,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",26439,6649.0,50.0,1057.56,1642.0977203970942,161.0,302.0,958.0,25.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
04:05:2013,98401.0,1200.0,8399.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,North Massachusetts Hall",16205,2360.0,51.0,385.8333333333333,479.9989286912164,103.5,206.5,459.0,42.0,,9650.0,1262.0,595.0,742.3076923076923,271.82236375231787,600.0,600.0,600.0,13.0,
05:04:2013,63600.0,7200.0,15601.0,1199.0,0.0,0.0,0.0,4.0,0.0,9000.0,6.0,"Hopkins Center for the Arts,Rockefeller Center,Rockefeller Center,Andres Hall,Dartmouth College,0,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Collis Student Center,Dartmouth College,0",32724,6030.0,50.0,909.0,1290.7175855756695,128.5,368.0,1434.75,36.0,,1202.0,1200.0,1.0,400.6666666666667,692.2429727583612,1.0,1.0,600.5,3.0,
05:05:2013,55200.0,0.0,23401.0,0.0,2999.0,0.0,0.0,-1.0,0.0,0.0,6.0,"Class of 1953 Commons,0,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Sudikoff Hall",10175,2471.0,60.0,678.3333333333334,817.7398002741342,121.0,252.0,1049.0,15.0,,10160.0,1244.0,117.0,635.0,255.9195185991096,559.5,599.0,600.75,16.0,
06:04:2013,57600.0,12000.0,21601.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,"0,Winfred-Raven House,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Hopkins Center for the Arts",15910,10880.0,60.0,1060.6666666666667,2791.9354440619727,100.0,121.0,237.0,15.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
