,home_time,school_time,travel_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,44400.0,16800.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall",17400,4085.0,61.0,561.2903225806451,863.8961817853033,125.5,232.0,483.5,31.0,1.0,8714.0,2398.0,1082.0,1452.3333333333333,514.8182850935528,1150.25,1196.5,1578.75,6.0,1.5
01:05:2013,65970.0,16831.0,1199.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Dana Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",22189,5064.0,30.0,887.56,1108.6564721920554,192.0,565.0,1391.0,25.0,1.0,9287.0,1201.0,1102.0,1160.875,39.69324339769391,1130.75,1168.0,1196.25,8.0,1.0
02:04:2013,149809.0,1200.0,0.0,3600.0,0.0,1.0,0.0,0.0,54.0,"Sudikoff Hall,0,0,Alumni Gymnasium,Alumni Gymnasium,0,0,0,0",8449,3147.0,61.0,563.2666666666667,909.0768839610768,70.0,141.0,484.0,15.0,,2348.0,1200.0,1148.0,1174.0,36.76955262170047,1161.0,1174.0,1187.0,2.0,
02:05:2013,78945.0,13200.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,0",9619,2894.0,71.0,739.9230769230769,922.6345847208834,141.0,343.0,596.0,13.0,1.0,4699.0,1203.0,1094.0,1174.75,53.84777927949614,1173.5,1201.0,1202.25,4.0,1.0
03:04:2013,1200.0,14400.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",33811,5618.0,41.0,735.0217391304348,1142.4778624479227,204.5,277.0,718.5,46.0,1.0,4663.0,1195.0,1119.0,1165.75,32.75540667838924,1158.0,1174.5,1182.25,4.0,2.5
03:05:2013,68210.0,8589.0,0.0,0.0,0.0,4.0,0.0,0.0,54.0,"0,0,Sudikoff Hall,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",29860,4274.0,40.0,382.8205128205128,598.4667800692757,151.0,232.0,359.75,78.0,,5923.0,1202.0,1137.0,1184.6,27.327641683833605,1186.0,1198.0,1200.0,5.0,
04:04:2013,73203.0,13198.0,2399.0,0.0,2400.0,3.0,0.0,0.0,54.0,"Sudikoff Hall,Maynard Parking Lot,Dick's House,Dick's House,Maynard Parking Lot,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0",27556,7123.0,131.0,1377.8,1646.1926279816262,201.75,796.5,2020.0,20.0,,10647.0,2400.0,1084.0,1330.875,436.4851290217604,1130.25,1199.0,1246.5,8.0,
04:05:2013,97691.0,12000.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0",8226,1360.0,60.0,432.9473684210527,376.8488458673834,106.0,404.0,615.0,19.0,,1203.0,1203.0,1203.0,1203.0,,1203.0,1203.0,1203.0,1.0,
05:04:2013,54000.0,36000.0,0.0,0.0,0.0,4.0,0.0,0.0,54.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",37409,6506.0,60.0,1011.054054054054,1528.9641727134883,131.0,293.0,1129.0,37.0,2.0,9395.0,1203.0,1096.0,1174.375,46.33708018423258,1171.25,1198.5,1200.5,8.0,3.5
05:05:2013,68400.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0",13277,1281.0,50.0,457.82758620689657,360.7327927750002,161.0,333.0,706.0,29.0,,9518.0,2400.0,101.0,1189.75,616.3484056463983,1124.0,1183.0,1200.75,8.0,
