,home_time,school_time,orthers,travel_time,shopping,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,43200.0,15601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,0,0,Moore Psychology Building",6791.0,2386.0,60.0,424.4375,619.1849447728307,96.0,166.5,386.25,16.0,,40800.0,40800.0,40800.0,40800.0,,40800.0,40800.0,40800.0,1.0,
01:05:2013,58801.0,15600.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,0,0,Dartmouth College",7698.0,3035.0,50.0,427.6666666666667,691.3790141279027,75.75,191.5,504.75,18.0,,9603.0,2402.0,1.0,1200.375,641.6946175112092,1200.0,1200.0,1200.0,8.0,
01:06:2013,0.0,9600.0,1200.0,14400.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,"Maynard Parking Lot,Moore Psychology Building,0,0",4529.0,2330.0,71.0,754.8333333333334,886.7246284313223,158.75,373.0,1064.25,6.0,,6000.0,6000.0,6000.0,6000.0,,6000.0,6000.0,6000.0,1.0,
02:04:2013,0.0,1199.0,0.0,0.0,82800.0,0.0,0.0,1.0,0.0,0.0,57.0,"Moore Psychology Building,Hanover Park",5035.0,4934.0,101.0,2517.5,3417.447073474584,1309.25,2517.5,3725.75,2.0,,49270.0,40800.0,8470.0,24635.0,22860.76223576108,16552.5,24635.0,32717.5,2.0,
02:05:2013,53999.0,45602.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building",11420.0,1896.0,50.0,368.3870967741936,381.39512996535535,111.0,262.0,413.0,31.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
03:04:2013,85221.0,26402.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,Moore Psychology Building,0,0",10392.0,2012.0,51.0,433.0,555.8582866006485,81.0,197.0,414.25,24.0,,40835.0,18000.0,1200.0,10208.75,8465.59410693268,3900.75,10817.5,17125.5,4.0,
03:05:2013,1198.0,43204.0,50400.0,1200.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,"Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Nugget Arcade,0,Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building",14056.0,2201.0,50.0,319.45454545454544,399.3719170377322,126.0,207.0,317.25,44.0,,2401.0,1200.0,1.0,800.3333333333334,692.2429727583612,600.5,1200.0,1200.0,3.0,
04:04:2013,9600.0,1036.0,42000.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"0,0,Sanborn House",8188.0,1809.0,40.0,389.9047619047619,431.9730205420131,122.0,242.0,455.0,21.0,,55086.0,20389.0,3497.0,9181.0,7037.553040652695,4800.0,5400.0,13200.0,6.0,
04:05:2013,49983.0,3598.0,0.0,0.0,0.0,9615.0,0.0,5.0,0.0,0.0,57.0,"Moore Psychology Building,0,0,0,Hood Museum of Art,0,0",2271.0,1161.0,41.0,324.42857142857144,454.4585999270111,60.0,71.0,439.0,7.0,2.0,18509.0,12658.0,1.0,2644.1428571428573,4437.683082742294,1109.5,1200.0,1215.5,7.0,5.0
05:04:2013,37202.0,44076.0,2563.0,0.0,0.0,6002.0,0.0,4.0,0.0,0.0,57.0,"0,Boloco,Moore Psychology Building,Moore Psychology Building,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Moore Psychology Building,Moore Psychology Building,Hanover Inn Dartmouth,Big Green Real Estate,0,0,Moore Psychology Building,Moore Psychology Building",9167.0,3579.0,40.0,436.5238095238095,753.8112906455846,121.0,232.0,393.0,21.0,,127192.0,127192.0,127192.0,127192.0,,127192.0,127192.0,127192.0,1.0,
