,home_time,school_time,orthers,travel_time,recreational_activities,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,9684.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",32073.0,8332.0,40.0,1336.375,2244.445739898344,88.5,449.0,1217.5,24.0,,10884.0,3600.0,2400.0,2721.0,587.3363601889466,2400.0,2442.0,2763.0,4.0,1.0
01:05:2013,100799.0,4800.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,59.0,"Class of 1953 Commons,0,0,Sudikoff Hall,Fairchild Physical Sciences Center,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0",12759.0,3480.0,60.0,708.8333333333334,884.2527752787861,146.25,363.0,880.75,18.0,,13197.0,3600.0,1197.0,1885.2857142857144,944.518698294836,1200.0,1200.0,2400.0,7.0,
02:04:2013,6003.0,0.0,101186.0,4411.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,"0,Dewey Parking Lot,0,0,0,0,0",16115.0,4477.0,60.0,700.6521739130435,1032.9363092525757,121.0,222.0,857.0,23.0,,14344.0,3600.0,1144.0,1793.0,912.7939839541324,1199.75,1200.0,2399.75,8.0,
02:05:2013,72001.0,4800.0,0.0,1199.0,0.0,0.0,0.0,3.0,0.0,0.0,59.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,0,0",4408.0,2179.0,60.0,489.77777777777777,691.8724191962305,70.0,264.0,453.0,9.0,,16950.0,4755.0,1199.0,2118.75,1369.2349010617988,1200.0,1298.0,2700.0,8.0,
03:04:2013,59248.0,5999.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,59.0,"0,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",24009.0,4930.0,60.0,1143.2857142857142,1348.5459259089823,201.0,384.0,1928.0,21.0,1.0,21388.0,4800.0,1085.0,1944.3636363636365,1356.783422122136,1198.5,1201.0,2402.5,11.0,1.0
03:05:2013,73413.0,2400.0,0.0,1290.0,0.0,0.0,0.0,4.0,0.0,0.0,59.0,"0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0,0",,,,,,,,,,,14048.0,3903.0,1200.0,2006.857142857143,993.8229937253128,1200.0,1745.0,2400.0,7.0,
04:04:2013,87601.0,11122.0,0.0,1200.0,0.0,0.0,0.0,3.0,0.0,0.0,59.0,"0,0,0,0,0,0,Vox Lane Parking Lot,0,Sudikoff Hall,Sudikoff Hall,0,0",19449.0,5161.0,51.0,720.3333333333334,1133.5550612665784,116.0,343.0,670.0,27.0,1.0,32681.0,9594.0,1159.0,5446.833333333333,3672.585052339383,2090.0,6132.0,8224.0,6.0,2.0
04:05:2013,106378.0,9596.0,0.0,3297.0,0.0,0.0,0.0,5.0,0.0,0.0,59.0,"0,Berry Sports Center Parking Lot,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,,,,16320.0,6170.0,1.0,1813.3333333333333,2173.8204847686943,523.0,1200.0,1200.0,9.0,
05:04:2013,146283.0,13128.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,59.0,"0,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0",21754.0,2561.0,70.0,836.6923076923077,716.608108758519,231.25,695.5,1341.0,26.0,1.0,3613.0,2400.0,1213.0,1806.5,839.3357492684319,1509.75,1806.5,2103.25,2.0,1.5
05:05:2013,56522.0,1324.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,59.0,"0,McNutt Hall,Steele Hall,0,0,0",950.0,354.0,30.0,158.33333333333334,121.7631580843182,83.5,121.0,220.0,6.0,,19261.0,5910.0,1.0,1013.7368421052632,1407.5767136033342,257.5,598.0,1197.0,19.0,
06:05:2013,161519.0,1801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,"0,0,0,0,0,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0",23661.0,10467.0,40.0,639.4864864864865,1710.4589640993634,111.0,233.0,485.0,37.0,1.0,11399.0,3001.0,599.0,1266.5555555555557,1015.340966265903,599.0,600.0,1201.0,9.0,2.0
07:04:2013,63413.0,10805.0,7146.0,1249.0,0.0,0.0,0.0,-1.0,0.0,0.0,59.0,"0,0,Sudikoff Hall,0,0,0",14522.0,2451.0,30.0,468.4516129032258,613.3089943744875,126.0,182.0,564.0,31.0,,15544.0,3600.0,1152.0,1943.0,1103.9892597821256,1198.75,1200.0,2699.25,8.0,
08:04:2013,178803.0,6000.0,0.0,3597.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,"0,Bartlett Hall,0,0,0,0,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0",9672.0,1886.0,60.0,483.6,558.0079607053347,87.75,146.5,746.25,20.0,1.0,9596.0,3600.0,1196.0,2399.0,981.4295695565728,2099.0,2400.0,2700.0,4.0,1.0
08:05:2013,93599.0,3602.0,0.0,600.0,6599.0,0.0,0.0,2.0,0.0,0.0,59.0,"Lot 7,0,0,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,0,0,0,0,Guarini Institute for International Education,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,0",5059.0,2195.0,30.0,229.95454545454547,453.8804622650925,70.25,103.0,156.0,22.0,1.0,19198.0,4800.0,599.0,1745.2727272727273,1528.667922794816,600.0,1200.0,2399.5,11.0,2.0
