,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,32402.0,1198.0,2400.0,44400.0,0.0,0.0,0.0,0.0,0.0,60.0,"Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Vail,Class of 1978 Life Sciences Center,Class of 1953 Commons,Dartmouth College,Robinson Hall",35012,4734.0,70.0,1060.969696969697,1227.5502404394822,131.0,555.0,1362.0,33.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.6666666666666665
01:05:2013,61199.0,0.0,0.0,22801.0,0.0,0.0,2.0,0.0,0.0,60.0,"Dartmouth College,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",8582,1213.0,50.0,225.8421052631579,239.1104603175819,81.0,121.5,331.25,38.0,1.0,9551.0,3600.0,1149.0,2387.75,1399.382095783707,1189.5,2401.0,3599.25,4.0,1.0
01:06:2013,3602.0,0.0,34798.0,0.0,0.0,0.0,5.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Hood Museum of Art,0",6438,2487.0,60.0,459.8571428571428,723.9871287787944,71.0,101.0,437.0,14.0,0.0,,,,,,,,,,3.0
02:04:2013,45600.0,0.0,4799.0,44401.0,0.0,0.0,1.0,0.0,0.0,60.0,"Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Haldeman Center,Haldeman Center,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Robinson Hall",29642,3933.0,40.0,926.3125,1085.1618115553388,261.75,469.0,1207.0,32.0,1.0,3435.0,2402.0,1033.0,1717.5,968.0291834443836,1375.25,1717.5,2059.75,2.0,1.4285714285714286
02:05:2013,60698.0,0.0,10800.0,10832.0,1197.0,2528.0,3.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Mass Parking Lot,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Webster Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",56133,19797.0,41.0,779.625,2450.835209391188,91.0,202.0,507.75,72.0,0.0,3592.0,1201.0,1190.0,1197.3333333333333,6.350852961085883,1195.5,1201.0,1201.0,3.0,3.0
03:04:2013,55202.0,0.0,1199.0,20400.0,0.0,0.0,2.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",43865,4683.0,60.0,974.7777777777778,1213.8203568015567,192.0,444.0,1221.0,45.0,1.0,3536.0,1200.0,1136.0,1178.6666666666667,36.950417228136054,1168.0,1200.0,1200.0,3.0,2.0833333333333335
03:05:2013,88005.0,0.0,0.0,15685.0,0.0,0.0,4.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",42184,22576.0,20.0,878.8333333333334,3278.90934989406,71.0,140.5,285.75,48.0,1.0,1158.0,1158.0,1158.0,1158.0,,1158.0,1158.0,1158.0,1.0,4.0
04:04:2013,69596.0,0.0,6002.0,10801.0,0.0,0.0,3.0,0.0,0.0,60.0,"South Fairbanks,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Latin American, Latino/a, and Caribbean House,Chinese Language House,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",33050,4805.0,51.0,718.4782608695652,1103.66715471912,111.0,257.0,590.75,46.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.4285714285714284
04:05:2013,83253.0,0.0,0.0,0.0,2400.0,0.0,5.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Dartmouth College,Blunt Alumni Center Parking Lot,Dartmouth College,Dartmouth College,Dana Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",18285,2143.0,30.0,281.3076923076923,406.8640329964715,71.0,131.0,293.0,65.0,2.0,6003.0,1205.0,1199.0,1200.6,2.5099800796022262,1199.0,1200.0,1200.0,5.0,3.0
05:04:2013,20621.0,0.0,0.0,65779.0,0.0,0.0,4.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Wheeler Hall,Robinson Hall,Robinson Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall",31022,2992.0,40.0,352.52272727272725,461.12580818230816,97.75,186.5,427.5,88.0,1.0,5550.0,1186.0,92.0,231.25,348.21598120307084,95.0,97.0,99.25,24.0,1.6666666666666667
