,home_time,recreational_activities,school_time,travel_time,orthers,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,22799.0,2400.0,33601.0,19201.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth Row Parking Lot,Hood Museum of Art,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",28189,3895.0,60.0,626.4222222222222,843.5916582438365,121.0,302.0,858.0,45.0,1.0,10796.0,2400.0,1196.0,1349.5,424.46840703570456,1200.0,1200.0,1200.0,8.0,1.6
01:05:2013,57601.0,1200.0,16800.0,4800.0,2400.0,0.0,0.0,2,0.0,3900.0,9,"Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,The Church of Christ at Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Rollins Chapel,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",26135,3914.0,40.0,622.2619047619048,786.5376445652392,153.5,378.5,733.5,42.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.3
02:04:2013,0.0,7199.0,4800.0,73200.0,0.0,0.0,0.0,1,0.0,0.0,9,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Hopkins Center for the Arts",19336,3258.0,61.0,585.939393939394,768.823002200195,121.0,312.0,625.0,33.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
02:05:2013,21596.0,0.0,3601.0,61202.0,0.0,1200.0,0.0,3,0.0,3900.0,9,"Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Hanover Park,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,South Fayerweather Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot",27398,4277.0,41.0,547.96,693.5725602462447,194.5,297.0,759.25,50.0,1.0,5999.0,1200.0,1199.0,1199.8,0.4472135954999579,1200.0,1200.0,1200.0,5.0,1.0
03:04:2013,10800.0,2400.0,28800.0,44400.0,0.0,0.0,0.0,2,0.0,3900.0,9,"Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Thornton Hall,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Steele Hall,Dartmouth College",24346,6666.0,71.0,760.8125,1193.7774536616814,158.5,388.5,965.5,32.0,1.0,,,,,,,,,,1.0
03:05:2013,57600.0,1198.0,7199.0,15603.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",26152,4155.0,41.0,792.4848484848485,1182.5865486617704,110.0,181.0,665.0,33.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
04:04:2013,3598.0,5998.0,61202.0,15602.0,0.0,0.0,0.0,3,0.0,3900.0,9,"Dartmouth Row Parking Lot,South Fayerweather Hall,Hopkins Center for the Arts,Thornton Hall,Thornton Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Thornton Hall,Dartmouth Row Parking Lot,Hopkins Center for the Arts",16241,2109.0,70.0,676.7083333333334,592.7511743642057,176.25,443.5,1089.0,24.0,1.0,4803.0,1203.0,1200.0,1200.75,1.5,1200.0,1200.0,1200.75,4.0,1.0
04:05:2013,45602.0,0.0,5997.0,34802.0,3599.0,0.0,0.0,5,0.0,0.0,9,"Sudikoff Hall,Irving,0,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,South Fayerweather Hall,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot",24695,3167.0,50.0,617.375,636.2442962315494,151.0,408.0,812.0,40.0,,4711.0,1200.0,1113.0,1177.75,43.17696144936557,1176.75,1199.0,1200.0,4.0,
05:04:2013,17973.0,3601.0,16825.0,48001.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall,Dartmouth Hall,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts",37737,4680.0,70.0,1179.28125,1233.7780485911896,333.0,721.0,1441.25,32.0,1.0,2405.0,1205.0,1200.0,1202.5,3.5355339059327378,1201.25,1202.5,1203.75,2.0,2.0
05:05:2013,63733.0,15598.0,1199.0,8404.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth Row Parking Lot,Maxwell Hall,Maxwell Hall,Wilson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",17379,2802.0,70.0,579.3,689.5693883716928,123.5,307.5,706.0,30.0,0.0,8442.0,1310.0,493.0,844.2,330.4689597123054,601.25,647.5,1192.0,10.0,3.0
