,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,8400.0,2400.0,9600.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,Sudikoff Hall,Sudikoff Hall,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library",29885.0,5407.0,30.0,1067.321428571429,1595.8177992530032,128.5,307.5,1357.75,28.0,,29886.0,13200.0,1200.0,3320.6666666666665,3927.7171486755506,1200.0,1204.0,3600.0,9.0,5.0
01:05:2013,15601.0,0.0,63599.0,0.0,1201.0,0.0,0.0,2.0,0.0,0.0,1.0,"King Arthur Baking Company,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall",30635.0,5107.0,40.0,578.0188679245283,1002.1666430321786,101.0,232.0,575.0,53.0,,295479.0,265488.0,1200.0,26861.727272727272,79192.95039849306,1201.0,2395.0,3601.0,11.0,
01:06:2013,24596.0,0.0,0.0,0.0,607.0,3000.0,0.0,5.0,0.0,0.0,1.0,"0,0,Farm-Way Inc.,0,0,0,Kendal at Hanover",373.0,373.0,373.0,373.0,,373.0,373.0,373.0,1.0,,,,,,,,,,,
02:04:2013,34803.0,37198.0,16799.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Alumni Gymnasium,0",27139.0,5706.0,50.0,714.1842105263158,1054.3845356098238,131.0,363.0,848.0,38.0,1.0,62405.0,20400.0,1200.0,8915.0,8308.945480625083,2402.5,3600.0,16200.0,7.0,
02:05:2013,2400.0,0.0,105586.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,"Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",9109.0,4216.0,111.0,700.6923076923077,1084.5067530614538,201.0,403.0,625.0,13.0,,,,,,,,,,,
03:04:2013,12009.0,0.0,8400.0,7200.0,3600.0,51591.0,0.0,2.0,0.0,0.0,1.0,"King Arthur Baking Company,Commercial Drive,White River Junction Historic District,0,Sudikoff Hall,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Guarini Institute for International Education,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage,Dartmouth College",31605.0,5245.0,51.0,957.7272727272727,1286.883062692743,191.0,383.0,999.0,33.0,1.0,30000.0,15600.0,1200.0,4285.714285714285,5177.975335150658,1200.0,2400.0,4200.0,7.0,1.3333333333333333
03:05:2013,0.0,2400.0,0.0,102000.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,"Midland Road,St Pancras Renaissance London Hotel,Midland Road,St Pancras Renaissance London Hotel,Midland Road,St Pancras International Station,St Pancras International Station,St Pancras International Station",26407.0,3409.0,70.0,528.14,631.1623876561694,184.5,312.5,546.75,50.0,,,,,,,,,,,
04:04:2013,24000.0,49200.0,12000.0,1200.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,"Dartmouth College,Dartmouth College,Byrne II Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,0,Hopkins Center for the Arts,0,Dartmouth College,Baker Memorial Library,Vail Dartmouth Medical School,Class of 1978 Life Sciences Center",13367.0,3180.0,51.0,556.9583333333334,777.7117762282234,101.0,221.5,549.0,24.0,1.0,37227.0,18000.0,1200.0,5318.142857142857,7159.225107709433,1200.0,1200.0,7213.5,7.0,2.3333333333333335
04:05:2013,0.0,0.0,0.0,51906.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,"Midland Road,St Pancras International Station",26222.0,10803.0,60.0,595.9545454545455,1615.0415352790567,135.75,217.0,485.0,44.0,,389732.0,389732.0,389732.0,389732.0,,389732.0,389732.0,389732.0,1.0,
05:04:2013,5999.0,4800.0,66002.0,8400.0,0.0,1199.0,0.0,4.0,0.0,0.0,1.0,"Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth Co-Op,South Block Parking Garage",34972.0,5579.0,71.0,1249.0,1469.326376269071,343.0,569.5,1434.0,28.0,1.0,44400.0,38400.0,1200.0,11100.0,18235.13092906108,1200.0,2400.0,12300.0,4.0,2.3333333333333335
05:05:2013,10796.0,79200.0,0.0,2400.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,"0,0,Place du Lieutenant Henri Karcher,Issé Izakaya,Musée d'Orsay,0",24387.0,7281.0,40.0,518.8723404255319,1062.9006992152322,130.5,252.0,540.0,47.0,,,,,,,,,,,
06:04:2013,58800.0,0.0,12000.0,1200.0,0.0,19200.0,0.0,5.0,0.0,0.0,1.0,"South Block Parking Garage,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,0",22603.0,5821.0,61.0,645.8,1065.4863236486674,141.0,282.0,529.0,35.0,1.0,82801.0,26400.0,1200.0,6900.083333333333,8315.788930575307,2100.0,3600.5,6300.0,12.0,1.0
06:05:2013,71961.0,0.0,0.0,0.0,0.0,170601.0,0.0,0.0,0.0,0.0,1.0,"0,0,Aéroport de Paris-Charles-de-Gaulle",29608.0,3662.0,70.0,455.5076923076923,507.3605757704808,151.0,312.0,615.0,65.0,,,,,,,,,,,
07:04:2013,9750.0,88010.0,0.0,4650.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,"0,0,0,0,Berry Sports Center",23055.0,3438.0,50.0,743.7096774193549,885.264864077352,146.0,504.0,943.0,31.0,2.0,44400.0,25200.0,1200.0,4933.333333333333,7764.01957751267,1200.0,2400.0,3600.0,9.0,5.0
08:04:2013,49200.0,0.0,13200.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,0,0,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,South Block Parking Garage",28539.0,5044.0,41.0,771.3243243243244,1255.4788164515396,121.0,252.0,807.0,37.0,0.0,24008.0,6000.0,1200.0,2182.5454545454545,1400.7386882381998,1201.0,2400.0,2400.0,11.0,3.0
08:05:2013,0.0,0.0,0.0,0.0,0.0,78770.0,0.0,2.0,0.0,0.0,1.0,Heathrow Terminal 5,15686.0,2248.0,61.0,435.72222222222223,543.5096850818555,110.75,237.0,428.0,36.0,0.0,,,,,,,,,,3.0
