,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,40800.0,1200.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",33712.0,4134.0,80.0,732.8695652173913,839.4966907140296,153.75,499.0,903.0,46.0,1.0,23993.0,3607.0,1193.0,1713.7857142857142,908.5460217437384,1198.25,1200.5,2100.5,14.0,2.0
01:05:2013,152401.0,1200.0,2399.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Steele Hall,Steele Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",,,,,,,,,,,16728.0,2400.0,1194.0,1520.7272727272727,553.5066559507828,1196.0,1200.0,1776.0,11.0,
02:04:2013,72003.0,14400.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College",12109.0,1573.0,50.0,345.9714285714286,337.2871429608942,111.0,242.0,479.0,35.0,,7029.0,1203.0,5.0,1004.1428571428572,445.7728975503963,1109.0,1200.0,1201.5,7.0,
02:05:2013,13200.0,0.0,3600.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",2099.0,1130.0,969.0,1049.5,113.84419177103416,1009.25,1049.5,1089.75,2.0,,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,
03:04:2013,62400.0,2398.0,21599.0,0.0,0.0,2.0,0.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",38904.0,10174.0,71.0,1496.3076923076924,2172.0322607038925,158.5,771.0,1714.0,26.0,1.0,19097.0,8400.0,1096.0,3819.4,3659.1165327166063,1200.0,1200.0,7201.0,5.0,1.0
03:05:2013,73200.0,13200.0,0.0,0.0,0.0,4.0,1.0,9000.0,2.0,"Dartmouth College,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts",37080.0,6565.0,40.0,674.1818181818181,1117.8033533230864,151.0,252.0,685.5,55.0,,4894.0,1200.0,533.0,978.8,313.4337250520435,761.0,1200.0,1200.0,5.0,
04:04:2013,82800.0,0.0,3600.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",42080.0,3391.0,61.0,1001.904761904762,1009.1053707344264,211.25,570.0,1399.5,42.0,2.0,14405.0,3600.0,1198.0,1800.625,907.0218043528108,1200.5,1202.5,2400.5,8.0,4.0
04:05:2013,51602.0,19200.0,0.0,290179.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dick's House,Dick's House",20212.0,4420.0,60.0,612.4848484848485,1037.5687363137718,121.0,202.0,303.0,33.0,,10801.0,2400.0,1.0,1200.111111111111,599.7500405261438,1200.0,1200.0,1200.0,9.0,
05:04:2013,73200.0,12000.0,1200.0,0.0,0.0,4.0,1.0,9000.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Carson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",34691.0,5841.0,40.0,846.1219512195122,1239.392798815653,101.0,343.0,1018.0,41.0,2.0,18002.0,3598.0,1197.0,1636.5454545454545,808.340691000566,1200.0,1202.0,1801.5,11.0,4.0
06:04:2013,79200.0,8400.0,1200.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Carson Hall,Dartmouth College",35015.0,5296.0,81.0,1061.060606060606,1204.8050137728185,303.0,686.0,1413.0,33.0,2.0,27377.0,4800.0,1122.0,1520.9444444444443,907.3345885369718,1200.0,1200.0,1201.75,18.0,4.5
07:04:2013,91200.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College",28714.0,5980.0,50.0,897.3125,1444.0069796431264,141.0,282.5,953.5,32.0,1.0,25853.0,3600.0,704.0,1723.5333333333333,924.1123050695476,1200.0,1200.0,2399.5,15.0,1.0
08:04:2013,74400.0,4800.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Dartmouth College,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",41290.0,3569.0,70.0,794.0384615384615,838.588121611194,222.0,418.0,1084.0,52.0,,12002.0,3601.0,1197.0,1714.571428571429,944.398548838158,1200.0,1202.0,1801.0,7.0,
08:05:2013,72606.0,2400.0,0.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",38099.0,5703.0,41.0,976.897435897436,1222.2721032842633,146.0,474.0,1251.5,39.0,,20626.0,1202.0,223.0,711.2413793103449,263.687539005166,600.0,600.0,600.0,29.0,
09:04:2013,73199.0,13201.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College",28540.0,6879.0,60.0,920.6451612903226,1284.028129193103,221.5,554.0,1028.5,31.0,1.0,5349.0,1200.0,556.0,1069.8,287.23370275787624,1194.0,1199.0,1200.0,5.0,1.0
09:05:2013,75600.0,1799.0,3600.0,0.0,601.0,3.0,1.0,7800.0,2.0,"Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College",47172.0,4008.0,61.0,760.8387096774194,746.6387673894247,264.75,593.0,872.0,62.0,,17658.0,1198.0,4.0,588.6,161.648746488735,600.0,600.0,600.0,30.0,
10:04:2013,76802.0,0.0,13199.0,0.0,0.0,2.0,0.0,11700.0,2.0,"Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",40579.0,4529.0,60.0,989.7317073170732,969.4483231299708,353.0,646.0,1513.0,41.0,1.0,14369.0,2400.0,1194.0,1306.2727272727273,362.7575198142944,1194.5,1198.0,1200.0,11.0,2.0
10:05:2013,61801.0,19800.0,0.0,0.0,4800.0,4.0,1.0,9000.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Black Family Visual Arts Center,Black Family Visual Arts Center,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",27717.0,6583.0,41.0,602.5434782608696,1089.2080855480224,96.0,282.0,509.0,46.0,,18574.0,1800.0,574.0,663.3571428571429,250.0578028414725,600.0,600.0,600.0,28.0,
11:04:2013,78000.0,0.0,4800.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College",31335.0,6000.0,50.0,921.6176470588236,1261.0730162866928,182.25,413.5,960.25,34.0,1.0,8392.0,1206.0,1193.0,1198.857142857143,4.3369947901195145,1196.5,1200.0,1200.0,7.0,1.0
11:05:2013,34793.0,7200.0,0.0,36008.0,8998.0,5.0,0.0,0.0,2.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Maynard Parking Lot,Dick's House,Dick's House,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Dick's House,Dick's House,Ripley Hall,Dick's House,Dick's House,Dartmouth College",47265.0,3190.0,62.0,656.4583333333334,723.2706024971701,148.5,363.0,857.25,72.0,,17396.0,1800.0,596.0,669.0769230769231,258.9172722051463,600.0,600.0,600.0,26.0,
12:04:2013,69598.0,12001.0,3600.0,0.0,0.0,4.0,1.0,9000.0,2.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",46086.0,6990.0,30.0,1152.15,1503.4387003270288,158.75,479.5,1487.5,40.0,1.0,8400.0,2400.0,1196.0,1400.0,489.9081546575848,1197.75,1201.5,1203.75,6.0,1.0
12:05:2013,67063.0,25803.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Bildner Hall,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",29596.0,5184.0,81.0,896.8484848484849,1252.0756546933408,151.0,374.0,1079.0,33.0,,1800.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,3.0,
13:04:2013,76800.0,9600.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",33926.0,3106.0,40.0,1028.060606060606,966.3409381331836,211.0,606.0,1829.0,33.0,2.0,6001.0,1200.0,1.0,1000.1666666666666,489.4897002661718,1200.0,1200.0,1200.0,6.0,
13:05:2013,76200.0,3000.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Hopkins Center for the Arts,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",29143.0,2420.0,41.0,620.063829787234,585.646183594606,161.5,393.0,968.0,47.0,,10202.0,2401.0,1.0,1020.2,751.0527130486767,600.0,600.0,1650.0,10.0,
14:04:2013,165559.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",23294.0,3076.0,50.0,803.2413793103449,937.0567011039108,181.0,373.0,970.0,29.0,1.0,21604.0,2400.0,2.0,1350.25,599.1374355410173,1198.75,1201.5,1203.25,16.0,4.0
14:05:2013,68998.0,16203.0,1199.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Wilson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Hood Museum of Art,Wilson Hall,Hopkins Center for the Arts",35765.0,9650.0,50.0,1192.1666666666667,1858.8269954061277,319.75,580.0,1114.5,30.0,,8982.0,2402.0,1.0,748.5,577.7713451467866,600.0,600.0,602.25,12.0,
15:04:2013,7241.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",31178.0,3278.0,63.0,708.5909090909091,658.0350707477817,216.75,509.5,902.25,44.0,,13204.0,2403.0,1197.0,1467.111111111111,529.4691786224304,1200.0,1200.0,1204.0,9.0,1.0
15:05:2013,102599.0,7200.0,1201.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Hopkins Center for the Arts,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",35391.0,6144.0,40.0,1415.64,1521.843916657246,282.0,605.0,2300.0,25.0,,20901.0,1801.0,537.0,720.7241379310345,293.23965047523404,600.0,600.0,603.0,29.0,
16:04:2013,81631.0,14400.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",25010.0,3066.0,61.0,532.1276595744681,624.0780893523025,151.0,302.0,696.0,47.0,1.0,9547.0,2400.0,1148.0,1363.857142857143,457.303848140172,1199.5,1200.0,1200.0,7.0,1.0
