,home_time,orthers,recreational_activities,school_time,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,1200.0,30001.0,7201.0,46798.0,0.0,0.0,0.0,0.0,10500.0,15.0,"Wheeler Hall,Wilder Hall,Thel,Wilder Hall,Wilder Hall,Thel,Sherman House,Sherman House,Thel,Thel,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Berry Library,Berry Library",29164.0,4699.0,40.0,678.2325581395348,956.4794035372214,100.5,242.0,826.5,43.0,1.0,2331.0,1197.0,1134.0,1165.5,44.54772721475249,1149.75,1165.5,1181.25,2.0,2.0
01:05:2013,32398.0,0.0,8400.0,26396.0,21606.0,0.0,2.0,0.0,3900.0,15.0,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Moore Psychology Building,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hood Museum of Art,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Wheeler Hall,Sudikoff Hall",36373.0,6797.0,70.0,1069.7941176470588,1521.1048372893154,211.75,484.0,1293.0,34.0,,4714.0,3526.0,1188.0,2357.0,1653.215654414148,1772.5,2357.0,2941.5,2.0,
02:04:2013,7200.0,49198.0,1200.0,19200.0,9602.0,0.0,1.0,0.0,0.0,15.0,"Berry Library,Sudikoff Hall,Collis Student Center,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Rollins Chapel,Wheeler Hall,Thel,Robinson Hall,Thel,Thel,Sigma Alpha Epsilon Fraternity,Thel,Thel,Sudikoff Hall,Sudikoff Hall",24457.0,2986.0,71.0,978.28,1058.5594976192883,172.0,424.0,1776.0,25.0,,1203.0,1203.0,1203.0,1203.0,,1203.0,1203.0,1203.0,1.0,
02:05:2013,48000.0,1200.0,16800.0,10800.0,8400.0,0.0,3.0,0.0,10500.0,15.0,"Sudikoff Hall,Berry Library,Berry Library,Winfred-Raven House,Winfred-Raven House,Wheeler Hall,Wheeler Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Thel,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Wheeler Hall",35122.0,5810.0,100.0,1463.4166666666667,1739.4550100201093,337.0,871.5,1504.5,24.0,,3545.0,2372.0,1173.0,1772.5,847.8210306426705,1472.75,1772.5,2072.25,2.0,
03:04:2013,8400.0,26400.0,20400.0,14400.0,16800.0,0.0,2.0,0.0,3900.0,15.0,"Berry Library,Berry Library,Winfred-Raven House,Winfred-Raven House,Berry Library,Berry Library,Sherman House,Sherman House,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Thel,Thel,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Thel,Dartmouth College",46526.0,9732.0,60.0,1661.642857142857,2504.6829061415056,191.0,433.5,2297.5,28.0,1.0,2399.0,1202.0,1197.0,1199.5,3.5355339059327378,1198.25,1199.5,1200.75,2.0,2.0
03:05:2013,36004.0,0.0,13200.0,40800.0,10800.0,1196.0,4.0,0.0,3000.0,15.0,"Wheeler Hall,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Collis Student Center,Sudikoff Hall",39808.0,6567.0,81.0,780.5490196078431,1068.6955097449506,217.0,493.0,948.0,51.0,,7159.0,2450.0,5.0,1193.1666666666667,775.1558337951581,1124.0,1165.0,1239.0,6.0,
04:04:2013,12000.0,34800.0,10800.0,8401.0,21600.0,0.0,3.0,0.0,10500.0,15.0,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Winfred-Raven House,Winfred-Raven House,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Thel,Wheeler Hall,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",39951.0,6538.0,60.0,1737.0,1559.3518467036815,847.0,1312.0,2350.0,23.0,1.0,2401.0,2401.0,2401.0,2401.0,,2401.0,2401.0,2401.0,1.0,2.0
04:05:2013,11823.0,2400.0,0.0,2671.0,53906.0,0.0,5.0,0.0,0.0,15.0,"Sudikoff Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Nu Delta Beta,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Rollins Chapel,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall",32526.0,6903.0,50.0,985.6363636363636,1376.3786910354154,161.0,504.0,1190.0,33.0,,,,,,,,,,,
05:04:2013,22800.0,31200.0,9599.0,16800.0,9600.0,4800.0,4.0,0.0,3000.0,15.0,"Black Family Visual Arts Center,Hood Museum of Art,Winfred-Raven House,Sudikoff Hall,Anonymous Hall,0,0,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Wheeler Hall,Thel,Rollins Chapel,Thel,Sigma Alpha Epsilon Fraternity,0,Wheeler Hall,Thel,Wheeler Hall,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",27754.0,7005.0,101.0,2312.833333333333,2517.5963945915964,423.75,1099.0,4396.0,12.0,1.0,1163.0,1163.0,1163.0,1163.0,,1163.0,1163.0,1163.0,1.0,2.0
05:05:2013,49200.0,9600.0,10800.0,18000.0,13200.0,0.0,-1.0,0.0,0.0,15.0,"Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Rollins Chapel,Thel,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Thel,Rollins Chapel,Rollins Chapel,Hood Museum of Art,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Sudikoff Hall",15591.0,4468.0,60.0,1199.3076923076924,1505.9323460133362,202.0,393.0,2533.0,13.0,,3554.0,2311.0,1243.0,1777.0,755.1900423072327,1510.0,1777.0,2044.0,2.0,
