,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,63599.0,4800.0,3600.0,15601.0,0.0,0.0,0.0,0.0,3900.0,5.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,0,0,Topliff Hall,Dartmouth College,Class of 1953 Commons,Ripley Hall,Topliff Hall,Topliff Hall,Ripley Hall,Dartmouth College,Collis Student Center,Ripley Hall,Ripley Hall,Dartmouth College,Collis Student Center,Robinson Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Wentworth Hall",23912,4044.0,50.0,543.4545454545455,650.4572793846187,138.5,383.0,718.75,44.0,,7203.0,1202.0,1200.0,1200.5,0.8366600265340756,1200.0,1200.0,1200.75,6.0,1.0
01:05:2013,58803.0,0.0,3600.0,20397.0,1200.0,1200.0,2.0,0.0,3900.0,5.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Floren Varsity House,Floren Varsity House,Hood Museum of Art,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sphinx Secret Society,Topliff Hall,Topliff Hall,Ripley Hall,Ripley Hall,Robinson Hall,Dartmouth College,Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Robinson Hall,Robinson Hall,Robinson Hall,Hood Museum of Art",19409,2289.0,60.0,473.390243902439,517.9635063423281,101.0,251.0,626.0,41.0,,2368.0,1200.0,1168.0,1184.0,22.62741699796952,1176.0,1184.0,1192.0,2.0,
02:04:2013,78004.0,0.0,1195.0,4800.0,0.0,0.0,1.0,0.0,0.0,5.0,"Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,North Fayerweather Hall,Ripley Hall,Dartmouth College,Topliff Hall,Topliff Hall,Topliff Hall,Topliff Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall",20964,4034.0,51.0,582.3333333333334,836.9991636793909,121.0,292.5,580.0,36.0,1.0,8400.0,2400.0,1196.0,1680.0,657.2731547842191,1200.0,1204.0,2400.0,5.0,2.0
02:05:2013,72001.0,1200.0,3599.0,8400.0,0.0,0.0,3.0,0.0,3900.0,5.0,"Ripley Hall,Ripley Hall,Dartmouth College,Sudikoff Hall,The Church of Christ at Dartmouth College,0,Hopkins Center for the Arts,Ripley Hall,Robinson Hall,Dartmouth College,Dartmouth College,McNutt Hall,Hopkins Center for the Arts,Ripley Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Ripley Hall,Ripley Hall,Class of 1953 Commons,Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall",16533,1816.0,30.0,393.6428571428572,362.889744824726,153.75,252.0,572.5,42.0,,1183.0,1183.0,1183.0,1183.0,,1183.0,1183.0,1183.0,1.0,
03:04:2013,68400.0,3602.0,2398.0,12000.0,0.0,0.0,2.0,0.0,3900.0,5.0,"Floren Varsity House,Floren Varsity House,Ripley Hall,Ripley Hall,Dartmouth College,Hopkins Center for the Arts,Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Ripley Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Ripley Hall,0,0,Alumni Gymnasium",29059,2884.0,41.0,581.18,607.9580977102194,166.25,338.0,917.75,50.0,1.0,3564.0,1204.0,1.0,891.0,593.6817329175625,869.5,1179.5,1201.0,4.0,2.0
03:05:2013,178613.0,4799.0,4800.0,3601.0,0.0,0.0,4.0,0.0,3000.0,5.0,"Dartmouth College,Reed Hall,Black Family Visual Arts Center,Heating & Electric Plant,Black Family Visual Arts Center,Alumni Gymnasium,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Robinson Hall,Ripley Hall,Ripley Hall,Ripley Hall,Collis Student Center,Dartmouth College",18934,1735.0,71.0,430.3181818181818,410.7023916967791,161.0,277.5,471.5,44.0,,121926.0,89813.0,1200.0,30481.5,41775.71052258318,1200.0,15456.5,44738.0,4.0,
04:04:2013,70801.0,1200.0,7199.0,7200.0,0.0,0.0,3.0,0.0,3900.0,5.0,"Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Bartlett Hall,Alumni Gymnasium,0,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",24034,3010.0,40.0,453.47169811320754,578.5510283914724,141.0,232.0,554.0,53.0,1.0,1313.0,1200.0,113.0,656.5,768.6250711497771,384.75,656.5,928.25,2.0,1.0
05:04:2013,60005.0,3600.0,2400.0,20395.0,0.0,0.0,4.0,0.0,3000.0,5.0,"Dartmouth College,Dartmouth Hall,McKenzie Fuel Oil Facility,McKenzie Fuel Oil Facility,Ripley Hall,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Ripley Hall,Wentworth Hall,Ripley Hall,Ripley Hall,Topliff Hall,Ripley Hall,Ripley Hall,Wentworth Hall,0,0,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Ripley Hall,Ripley Hall,Collis Student Center",23112,3822.0,51.0,481.5,645.7742178389688,121.0,267.5,577.5,48.0,1.0,5421.0,1202.0,753.0,1084.2,188.42956243647123,1124.0,1141.0,1201.0,5.0,2.0
05:05:2013,60187.0,3599.0,0.0,4801.0,0.0,0.0,-1.0,0.0,0.0,5.0,"Dartmouth College,Ripley Hall,Class of 1953 Commons,Class of 1953 Commons,0,0,0,Ripley Hall,Ripley Hall,Topliff Hall,Topliff Hall,Topliff Hall,Topliff Hall,Collis Student Center,Ripley Hall",19404,1664.0,51.0,421.82608695652175,382.0665622257652,164.25,267.0,571.75,46.0,,923.0,923.0,923.0,923.0,,923.0,923.0,923.0,1.0,
06:04:2013,99600.0,1200.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,5.0,"Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,The Lodge,The Lodge,0,Ripley Hall",37784,9875.0,60.0,609.4193548387096,1324.8377883804824,194.5,293.0,383.0,62.0,1.0,39399.0,19198.0,1200.0,7879.8,8716.905483025499,1200.0,2400.0,15401.0,5.0,1.0
06:05:2013,81600.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,3900.0,5.0,"Ripley Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Ripley Hall,Topliff Hall,Topliff Hall,Class of 1953 Commons,Class of 1953 Commons,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Ripley Hall",22693,1423.0,50.0,420.2407407407408,334.70882503178484,123.5,348.0,587.25,54.0,,9290.0,2400.0,890.0,1327.142857142857,486.9878261898781,1200.0,1200.0,1200.0,7.0,
07:04:2013,76801.0,0.0,0.0,1200.0,0.0,2399.0,-1.0,0.0,0.0,5.0,"Ripley Hall,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College",28678,6483.0,61.0,796.6111111111111,1405.201994178931,128.5,312.5,662.75,36.0,1.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,1.0
08:04:2013,67200.0,6000.0,0.0,9601.0,0.0,1199.0,0.0,0.0,3900.0,5.0,"Dartmouth College,0,0,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Collis Student Center,Sphinx Secret Society,Ripley Hall",28976,4155.0,61.0,706.7317073170732,778.9456022210487,141.0,514.0,988.0,41.0,1.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,1.0
08:05:2013,74403.0,0.0,3600.0,9600.0,0.0,0.0,2.0,0.0,3900.0,5.0,"Dartmouth College,Wentworth Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Floren Varsity House,Floren Varsity House,Red Rolfe Field at Biondi Park,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Wentworth Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College",36592,3964.0,80.0,831.6363636363636,760.371913006257,383.0,670.5,973.75,44.0,1.0,4685.0,1200.0,1087.0,1171.25,56.1745790668104,1170.25,1199.0,1200.0,4.0,1.0
09:04:2013,63353.0,3600.0,0.0,11999.0,0.0,0.0,1.0,0.0,0.0,5.0,"Ripley Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,0,0,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",21972,1412.0,50.0,448.4081632653061,387.7070908112284,152.0,323.0,585.0,49.0,1.0,4905.0,1200.0,269.0,981.0,403.9096433609874,1040.0,1196.0,1200.0,5.0,1.0
09:05:2013,72003.0,0.0,1200.0,5997.0,0.0,6000.0,3.0,0.0,3900.0,5.0,"Dartmouth College,Topliff Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Casque & Gauntlet Senior Society,Dartmouth College,Dartmouth College,Smith Hall,Ripley Hall,Ripley Hall,0,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Collis Student Center",32501,4098.0,51.0,792.7073170731708,958.7457495056348,191.0,443.0,908.0,41.0,0.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,3.0
10:04:2013,63600.0,0.0,2401.0,15599.0,3599.0,1201.0,2.0,0.0,3900.0,5.0,"Floren Varsity House,Floren Varsity House,Ripley Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Robinson Hall,Class of 1953 Commons,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Ripley Hall,Wentworth Hall,0,Collis Student Center,Ripley Hall,Ripley Hall,Dartmouth College,Alpha Delta,Woodward Hall,Collis Student Center,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Ripley Hall,Collis Student Center,Black Family Visual Arts Center,0,Dartmouth College",24533,4205.0,31.0,521.9787234042553,734.1676887398678,106.0,222.0,716.0,47.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
10:05:2013,83999.0,0.0,1200.0,1200.0,0.0,2401.0,4.0,1.0,3000.0,5.0,"Dartmouth College,Ripley Hall,Ripley Hall,Sphinx Secret Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Ripley Hall,Topliff Hall,Dartmouth College,Kappa Pi Kappa,Ripley Hall,Ripley Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College",31035,3892.0,61.0,574.7222222222222,650.5931231958156,173.75,383.0,738.5,54.0,,8400.0,2400.0,1200.0,1680.0,657.2670690061993,1200.0,1200.0,2400.0,5.0,
11:04:2013,42001.0,38082.0,1200.0,6001.0,0.0,0.0,3.0,0.0,3900.0,5.0,"Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Collis Student Center,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Rollins Chapel,Ripley Hall,Hopkins Center for the Arts,0,0,Ripley Hall,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Fairchild Physical Sciences Center",29100,3238.0,40.0,549.0566037735849,613.390339239916,141.0,363.0,716.0,53.0,0.0,7200.0,2400.0,1200.0,1800.0,692.8203230275509,1200.0,1800.0,2400.0,4.0,
11:05:2013,76802.0,0.0,2398.0,3600.0,0.0,1200.0,5.0,0.0,0.0,5.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Topliff Hall,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Ripley Hall,Topliff Hall,Ripley Hall,Ripley Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Dartmouth",31304,3741.0,40.0,539.7241379310345,611.7528394704195,141.0,302.0,837.0,58.0,,10800.0,2400.0,1200.0,1350.0,424.2640687119286,1200.0,1200.0,1200.0,8.0,
12:04:2013,74400.0,5999.0,3601.0,1198.0,0.0,1200.0,4.0,1.0,3000.0,5.0,"Nugget Arcade,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Hanover Information booth,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,0,0,Alumni Gymnasium,Dartmouth Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Ripley Hall,Ripley Hall,Sphinx Secret Society,Dartmouth College,Dartmouth College",33613,4236.0,50.0,715.1702127659574,933.8257522767144,106.0,302.0,1023.5,47.0,,3604.0,2400.0,1204.0,1802.0,845.6997102991108,1503.0,1802.0,2101.0,2.0,3.0
12:05:2013,79202.0,0.0,2400.0,1200.0,3598.0,0.0,-1.0,0.0,0.0,5.0,"Bartlett Hall,Topliff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hood Museum of Art,Ripley Hall,Dartmouth College,Maynard Parking Lot,Maynard Parking Lot,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College",30551,3137.0,60.0,636.4791666666666,702.5359228971802,173.5,398.5,771.75,48.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
13:04:2013,84001.0,0.0,3600.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,"Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall",32352,6378.0,40.0,770.2857142857143,1147.8573525234572,136.0,348.0,865.25,42.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
