,home_time,school_time,recreational_activities,orthers,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,32938.0,36662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",23792,2320.0,51.0,403.2542372881356,450.6592333391216,121.0,252.0,499.0,59.0,,36586.0,22806.0,1148.0,3326.0,6472.980781680107,1158.0,1205.0,1561.0,11.0,
01:05:2013,128400.0,27600.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",876,322.0,40.0,146.0,103.43500374631404,86.0,110.5,189.0,6.0,0.0,127200.0,126000.0,1200.0,63600.0,88246.92629208113,32400.0,63600.0,94800.0,2.0,3.0
01:06:2013,1165.0,1800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,0,0",4763,1475.0,101.0,529.2222222222222,513.5257485700638,141.0,313.0,1019.0,9.0,,4200.0,1800.0,600.0,1050.0,574.4562646538029,600.0,900.0,1350.0,4.0,
02:04:2013,43200.0,45600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",13846,2511.0,50.0,419.5757575757576,521.7388613031804,141.0,232.0,453.0,33.0,,53246.0,40774.0,1146.0,7606.571428571428,14758.52239506768,1173.5,1200.0,3889.5,7.0,
02:05:2013,1200.0,27600.0,1200.0,0.0,0.0,0.0,3.0,0.0,0.0,52.0,"0,Hood Museum of Art,Sudikoff Hall",3672,757.0,61.0,408.0,279.0524144314111,151.0,323.0,726.0,9.0,0.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,3.0
03:04:2013,118800.0,43200.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0",6639,1392.0,60.0,390.52941176470586,355.0665637678129,106.0,302.0,484.0,17.0,1.0,120000.0,118800.0,1200.0,60000.0,83155.75746753799,30600.0,60000.0,89400.0,2.0,2.0
03:05:2013,51600.0,12001.0,0.0,1199.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Coldwell Banker,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse",14541,4185.0,51.0,519.3214285714286,938.80460056517,91.0,151.5,459.25,28.0,1.0,44475.0,30000.0,1200.0,7412.5,11194.303797021055,1462.5,3525.0,4968.75,6.0,2.0
04:04:2013,1200.0,8318.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",14380,3510.0,50.0,575.2,847.678250674551,141.0,293.0,384.0,25.0,1.0,55015.0,52712.0,1099.0,18338.333333333332,29768.51484930569,1151.5,1204.0,26958.0,3.0,1.0
04:05:2013,36246.0,171600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",37707,9631.0,61.0,1256.9,2490.381252490996,113.75,242.0,505.75,30.0,,121358.0,83400.0,37958.0,60679.0,32132.346350679098,49318.5,60679.0,72039.5,2.0,
05:04:2013,52800.0,44394.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",13574,2159.0,50.0,411.3333333333333,479.6303046792046,152.0,252.0,424.0,33.0,1.0,,,,,,,,,,1.0
