,home_time,recreational_activities,school_time,orthers,shopping,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,2400.0,4798.0,7203.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,10.0,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall",24611,6323.0,61.0,1070.0434782608695,1587.9749963185204,146.0,272.0,1149.5,23.0,,2358.0,1201.0,1157.0,1179.0,31.11269837220809,1168.0,1179.0,1190.0,2.0,
01:05:2013,59973.0,3507.0,19287.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,10.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Parker House,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall",26117,6978.0,50.0,746.2,1348.9292006014598,111.0,262.0,751.5,35.0,,16782.0,2480.0,1083.0,1678.2,619.3381413519866,1214.5,1291.5,2353.75,10.0,
02:04:2013,81091.0,0.0,4799.0,0.0,0.0,0.0,0.0,1.0,1.0,10500.0,10.0,"Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",33006,3288.0,51.0,825.15,765.0608673623495,269.5,549.5,1169.5,40.0,,2352.0,1199.0,1153.0,1176.0,32.526911934581186,1164.5,1176.0,1187.5,2.0,
02:05:2013,74358.0,0.0,10875.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,10.0,"Dartmouth Hall,Dartmouth College,Dartmouth College,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Anonymous Hall",24801,3600.0,60.0,620.025,907.760374104792,161.75,262.0,600.25,40.0,,2404.0,1204.0,1200.0,1202.0,2.8284271247461903,1201.0,1202.0,1203.0,2.0,
03:04:2013,72001.0,0.0,15598.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,10.0,"Dartmouth College,Dartmouth College,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Wentworth Hall",29888,4560.0,30.0,622.6666666666666,996.5067781331186,126.0,217.0,635.25,48.0,,18893.0,6003.0,949.0,3148.8333333333335,2414.023066722161,1158.0,2398.5,5399.25,6.0,
03:05:2013,80413.0,0.0,2400.0,3588.0,1199.0,0.0,0.0,4.0,1.0,6000.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Cemetery Lane,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall",29891,6869.0,60.0,879.1470588235294,1477.5703056103257,138.5,444.0,771.75,34.0,,12699.0,3603.0,707.0,2116.5,1276.8199168246083,1200.0,1794.5,3297.25,6.0,
04:04:2013,67015.0,14401.0,3600.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Wentworth Hall,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",24611,3903.0,91.0,1230.55,1152.9652605804145,375.5,872.0,1807.5,20.0,,5920.0,2399.0,1118.0,1480.0,613.9310493315461,1179.5,1201.5,1502.0,4.0,
04:05:2013,90000.0,13200.0,2400.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Reed Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",41396,4639.0,40.0,1182.7428571428572,1027.3720714080384,312.0,1089.0,1517.5,35.0,,37784.0,15604.0,655.0,4723.0,6715.972538870088,1182.0,1200.0,4799.75,8.0,
05:04:2013,81106.0,0.0,6000.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall",19672,3883.0,70.0,894.1818181818181,1051.096870908972,319.75,439.0,971.0,22.0,,4795.0,2395.0,1200.0,1598.3333333333333,689.9335716816028,1200.0,1200.0,1797.5,3.0,
05:05:2013,81600.0,0.0,0.0,0.0,0.0,1200.0,0.0,-1.0,0.0,0.0,10.0,"63 South Main Street Parking Deck,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",25434,2784.0,41.0,820.4516129032259,768.1616513343042,171.5,695.0,1265.5,31.0,,25052.0,11994.0,1058.0,5010.4,5352.469785061845,1194.0,1200.0,9606.0,5.0,
