,home_time,school_time,working,orthers,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,63602.0,11999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10500.0,13,"0,0,0,0,0,0,Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Haldeman Center",23320,4115.0,40.0,752.258064516129,895.0919493825552,141.5,393.0,1153.5,31.0,2.0,16688.0,2400.0,1158.0,1390.6666666666667,457.2121714226008,1202.0,1203.0,1204.5,12.0,4.0
01:05:2013,63598.0,37203.0,1199.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,13,"0,Dartmouth College,Dartmouth College,0,Sudikoff Hall,0,0,0,0,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0",16533,3853.0,51.0,688.875,972.754239149133,116.0,212.0,1122.5,24.0,,4697.0,2380.0,1117.0,1565.6666666666667,706.4533483064068,1158.5,1200.0,1790.0,3.0,
01:06:2013,30350.0,0.0,0.0,6002.0,0.0,0.0,0.0,5,0.0,0.0,13,"0,0,Mobil,0,0,0,Pulsifer Building,Pulsifer Building,0",5034,2431.0,71.0,1258.5,1348.2179596291792,101.0,1266.0,2423.5,4.0,,1800.0,602.0,598.0,600.0,2.0,599.0,600.0,601.0,3.0,
02:04:2013,81600.0,1202.0,0.0,0.0,3598.0,0.0,0.0,1,1.0,6600.0,13,"Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,G Lot Parking,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",12838,2048.0,31.0,755.1764705882352,697.648302808632,171.0,574.0,1248.0,17.0,,14758.0,3600.0,1198.0,2108.285714285714,939.128800943675,1201.0,2400.0,2579.0,7.0,
02:05:2013,70800.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,13500.0,13,"0,0,0,0,0,0,Life Sciences Greenhouse",19898,4165.0,70.0,865.1304347826087,1304.0307199514414,95.5,282.0,716.0,23.0,,11730.0,1200.0,1081.0,1173.0,43.11741076538701,1167.5,1200.0,1200.0,10.0,
03:04:2013,40800.0,9600.0,0.0,0.0,37200.0,0.0,0.0,2,0.0,10500.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Haldeman Center",32019,3943.0,60.0,865.3783783783783,1065.6516877101633,111.0,454.0,1166.0,37.0,1.0,7198.0,1204.0,1195.0,1199.6666666666667,3.265986323710904,1197.75,1200.0,1201.5,6.0,2.0
03:05:2013,69604.0,16796.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Remsen Medical Sciences Building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Haldeman Center",20556,3865.0,40.0,934.3636363636364,1158.7140879709443,133.5,419.0,1253.0,22.0,,9424.0,2400.0,1102.0,1346.2857142857142,466.5282107531885,1161.0,1200.0,1200.0,7.0,
04:04:2013,69585.0,13215.0,0.0,1200.0,0.0,1200.0,0.0,3,0.0,13500.0,13,"Haldeman Center,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,La Casa,Bildner Hall,0,0,Big Green Real Estate,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Bildner Hall,Bildner Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",20049,2744.0,51.0,742.5555555555555,845.2268395267688,166.5,363.0,972.0,27.0,0.0,20395.0,12000.0,1122.0,2549.375,3818.8201221057793,1200.0,1202.5,1219.0,8.0,3.0
04:05:2013,95231.0,1200.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,13,"Haldeman Center,0,0,0,0,0,0",24371,6345.0,60.0,2030.9166666666667,2381.979866273713,126.0,1035.0,3618.0,12.0,,5907.0,1200.0,553.0,984.5,316.88594162568967,738.5,1177.0,1200.0,6.0,
05:04:2013,61200.0,12000.0,0.0,13200.0,0.0,0.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Haldeman Center",34122,5769.0,70.0,1100.7096774193549,1338.7037808653658,222.0,581.0,1522.5,31.0,2.0,56411.0,50400.0,1200.0,9401.833333333334,20084.917838185615,1200.75,1203.0,1204.5,6.0,4.0
