,home_time,orthers,recreational_activities,school_time,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,68402.0,3598.0,4799.0,14401.0,1200.0,0.0,0.0,6900.0,17.0,"Little Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Alumni Gym,0,Dartmouth College,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",28369.0,6153.0,50.0,886.53125,1229.258994846607,108.5,322.5,1311.0,32.0,,,,,,,,,,,4.0
01:05:2013,59507.0,0.0,0.0,8400.0,0.0,2.0,1.0,13500.0,17.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College",118.0,118.0,118.0,118.0,,118.0,118.0,118.0,1.0,,,,,,,,,,,
02:04:2013,72000.0,0.0,0.0,10800.0,0.0,1.0,0.0,9600.0,17.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",21609.0,2906.0,40.0,527.0487804878048,652.8817255529332,111.0,272.0,757.0,41.0,1.0,,,,,,,,,,1.0
02:05:2013,49567.0,0.0,0.0,46800.0,0.0,3.0,0.0,9900.0,17.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall",21941.0,2268.0,50.0,645.3235294117648,702.7836737978926,113.25,337.5,1006.0,34.0,1.0,4174.0,2063.0,909.0,1391.3333333333333,599.8452578234935,1055.5,1202.0,1632.5,3.0,1.0
03:04:2013,63600.0,6000.0,0.0,14400.0,0.0,2.0,0.0,13500.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",22897.0,5093.0,51.0,1090.3333333333333,1416.4939580998337,231.0,423.0,1290.0,21.0,1.0,4800.0,1201.0,1199.0,1200.0,0.816496580927726,1199.75,1200.0,1200.25,4.0,3.0
03:05:2013,63601.0,1201.0,3598.0,3600.0,0.0,4.0,1.0,6000.0,17.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,0,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College",23909.0,4942.0,110.0,1086.7727272727273,1111.5515938936194,216.25,751.0,1644.75,22.0,0.0,2405.0,1200.0,5.0,801.6666666666666,689.9335716816029,602.5,1200.0,1200.0,3.0,3.0
04:04:2013,68400.0,0.0,0.0,18000.0,0.0,3.0,0.0,9900.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",19923.0,2945.0,40.0,553.4166666666666,788.2419271481858,98.5,262.0,524.0,36.0,1.0,,,,,,,,,,1.0
04:05:2013,148140.0,3600.0,0.0,8401.0,4798.0,5.0,0.0,0.0,17.0,"Dartmouth College,Dartmouth College,Robinson Hall,Steele Hall,Steele Hall,Dartmouth College,0,0,Coldwell Banker,Coldwell Banker,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",22678.0,3792.0,40.0,515.4090909090909,748.9660258131942,97.5,242.0,466.5,44.0,1.0,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,1.0
05:04:2013,87052.0,0.0,0.0,7201.0,5999.0,4.0,0.0,6000.0,17.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,0,0,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",22260.0,4014.0,40.0,795.0,1148.4663203110872,108.5,363.0,842.25,28.0,1.0,,,,,,,,,,2.5
05:05:2013,19200.0,0.0,0.0,0.0,600.0,-1.0,0.0,0.0,17.0,"Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",25778.0,3218.0,61.0,660.974358974359,712.8145653593185,191.5,383.0,892.5,39.0,1.0,3000.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,5.0,2.0
