,home_time,school_time,orthers,travel_time,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,73200.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sherman House,Dartmouth College",22818.0,3984.0,40.0,1267.6666666666667,1391.3401072770262,201.25,650.5,2076.75,18.0,,7086.0,1203.0,1090.0,1181.0,44.67661580737735,1196.0,1197.5,1201.25,6.0,
02:04:2013,61201.0,9599.0,0.0,0.0,0.0,0.0,1.0,0.0,6600.0,19.0,"Dartmouth College,Moore Psychology Building,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College",33623.0,4054.0,60.0,1461.8695652173913,1209.030915626524,464.5,1522.0,2082.5,23.0,,5896.0,1202.0,1144.0,1179.2,29.48219801846531,1150.0,1200.0,1200.0,5.0,
02:05:2013,12003.0,3600.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse",,,,,,,,,,,6827.0,2404.0,957.0,1365.4,589.2345034025078,1070.0,1197.0,1199.0,5.0,
03:04:2013,68509.0,17891.0,1200.0,0.0,0.0,0.0,2.0,0.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,Rollins Chapel,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons",23112.0,9963.0,30.0,1359.529411764706,2440.988097002089,251.0,353.0,1352.0,17.0,1.0,14477.0,2400.0,1146.0,1316.090909090909,360.98322801633174,1199.0,1201.0,1231.0,11.0,1.0
03:05:2013,69598.0,13201.0,0.0,3599.0,0.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Wentworth Hall,Reed Hall,Reed Hall,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall",5703.0,2634.0,70.0,814.7142857142857,864.7661946610606,302.5,656.0,869.0,7.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
04:04:2013,140402.0,12000.0,0.0,0.0,3599.0,0.0,3.0,0.0,6900.0,19.0,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College",3630.0,645.0,111.0,330.0,182.79113764075103,196.5,302.0,444.0,11.0,,23715.0,3565.0,1082.0,1581.0,745.3696110942927,1176.5,1197.0,1853.5,15.0,
04:05:2013,86399.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College",7721.0,1498.0,51.0,406.3684210526316,390.4833487026496,121.0,272.0,585.0,19.0,,2398.0,1199.0,1199.0,1199.0,0.0,1199.0,1199.0,1199.0,2.0,
05:04:2013,1199.0,14401.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",21943.0,4246.0,50.0,783.6785714285714,1047.0265147009277,154.5,338.0,872.0,28.0,1.0,9271.0,1207.0,1091.0,1158.875,55.22276316364993,1093.5,1196.0,1197.25,8.0,1.0
05:05:2013,142801.0,15599.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",6186.0,1170.0,81.0,515.5,392.7764805030511,139.25,499.0,814.75,12.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
06:04:2013,233089.0,5999.0,0.0,0.0,1200.0,0.0,5.0,0.0,0.0,19.0,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",30061.0,6314.0,60.0,910.939393939394,1237.560098020343,272.0,514.0,928.0,33.0,,10528.0,1202.0,1094.0,1169.7777777777778,45.35630545408702,1154.0,1195.0,1196.0,9.0,
06:05:2013,100799.0,2401.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,19.0,"Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College",8362.0,2834.0,71.0,760.1818181818181,865.5738926494744,106.0,464.0,913.0,11.0,,3598.0,1201.0,1198.0,1199.3333333333333,1.5275252316519468,1198.5,1199.0,1200.0,3.0,
08:04:2013,22800.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",23084.0,4125.0,70.0,923.36,1237.3144601649708,131.0,363.0,898.0,25.0,1.0,14365.0,2401.0,1151.0,1436.5,508.32169385581454,1200.25,1202.5,1203.75,10.0,1.0
08:05:2013,14399.0,69617.0,0.0,0.0,0.0,0.0,2.0,0.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall",13526.0,3309.0,81.0,845.375,965.9868097788224,143.5,393.5,1221.5,16.0,,33619.0,15697.0,1126.0,8404.75,8362.2088539253,1181.5,8398.0,15621.25,4.0,
09:04:2013,78000.0,0.0,0.0,0.0,7200.0,0.0,1.0,1.0,6600.0,19.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",15153.0,3792.0,61.0,797.5263157894736,1000.7326964902072,105.5,464.0,968.5,19.0,1.0,23949.0,3599.0,1150.0,1596.6,742.2732265528259,1199.5,1201.0,1800.5,15.0,1.0
09:05:2013,0.0,532875.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,19.0,"Collis Student Center,Collis Student Center",,,,,,,,,,,,,,,,,,,,
10:04:2013,36000.0,30000.0,0.0,0.0,6000.0,0.0,2.0,0.0,10500.0,19.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Remsen Medical Sciences Building,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts",23076.0,3873.0,50.0,721.125,1005.4001209597136,95.25,206.5,957.5,32.0,,15601.0,1202.0,1197.0,1200.076923076923,1.5525000516123697,1200.0,1200.0,1201.0,13.0,1.0
11:04:2013,75605.0,7197.0,0.0,1199.0,2403.0,0.0,3.0,0.0,6900.0,19.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,McKenzie Shops,Topliff Hall,Topliff Hall,Topliff Hall,0,Dartmouth College,Dartmouth College,Reed Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",,,,,,,,,,,7202.0,2402.0,1200.0,1800.5,693.3981540211944,1200.0,1800.0,2400.5,4.0,
12:04:2013,147598.0,21599.0,2399.0,0.0,1200.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thornton Hall,0,Alumni Gymnasium,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College",,,,,,,,,,,3500.0,1202.0,1098.0,1166.6666666666667,59.47548514584251,1149.0,1200.0,1201.0,3.0,
14:04:2013,104401.0,7199.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Class of 1953 Commons,Sarner Underground,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",,,,,,,,,,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
15:04:2013,75601.0,10799.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Dartmouth College,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College",,,,,,,,,,,4796.0,1201.0,1196.0,1199.0,2.160246899469287,1198.25,1199.5,1200.25,4.0,3.0
15:05:2013,60002.0,13199.0,0.0,0.0,0.0,0.0,2.0,0.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",16598.0,4417.0,61.0,518.6875,968.366547419566,128.5,176.5,338.0,32.0,,,,,,,,,,,
16:04:2013,51600.0,12000.0,0.0,0.0,0.0,0.0,1.0,0.0,6600.0,19.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College",31137.0,5406.0,70.0,973.03125,1355.474264920918,223.75,365.5,1199.75,32.0,,8353.0,1203.0,1.0,1044.125,421.78140496165616,1185.0,1198.5,1200.5,8.0,
16:05:2013,84001.0,3599.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College",28670.0,6586.0,50.0,597.2916666666666,1258.4399487500104,98.5,206.5,408.25,48.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
17:04:2013,67203.0,17998.0,0.0,0.0,0.0,0.0,2.0,0.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",33904.0,3822.0,50.0,753.4222222222222,972.7724785115454,111.0,323.0,837.0,45.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
17:05:2013,161997.0,2400.0,0.0,0.0,2403.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",876.0,323.0,50.0,125.14285714285714,93.17265080023674,75.5,80.0,136.0,7.0,,17746.0,1204.0,1089.0,1183.0666666666666,38.99352815654462,1198.0,1200.0,1201.5,15.0,
18:04:2013,58800.0,22799.0,0.0,2400.0,1200.0,0.0,3.0,0.0,6900.0,19.0,"Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse",192.0,192.0,192.0,192.0,,192.0,192.0,192.0,1.0,,,,,,,,,,,
18:05:2013,2400.0,1201.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,"Dartmouth College,Class of 1953 Commons",11109.0,4690.0,61.0,694.3125,1200.4306848655056,121.0,192.0,541.75,16.0,,12849.0,2402.0,1065.0,1284.9,397.88620651303467,1120.5,1164.5,1199.75,10.0,
19:04:2013,96000.0,3600.0,0.0,0.0,6000.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Berry Sports Center,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College",,,,,,,,,,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
19:05:2013,87600.0,1199.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Class of 1953 Commons,Dartmouth College",21140.0,3572.0,70.0,782.9629629629629,851.6956156118345,317.5,504.0,847.5,27.0,,2399.0,1200.0,1199.0,1199.5,0.7071067811865476,1199.25,1199.5,1199.75,2.0,
20:04:2013,54000.0,24000.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sarner Underground,Class of 1953 Commons,Carson Hall,Sudikoff Hall",7099.0,3429.0,41.0,591.5833333333334,926.8000135690088,181.0,252.0,705.25,12.0,1.0,,,,,,,,,,1.0
20:05:2013,1199.0,82989.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons",11462.0,2786.0,70.0,1042.0,970.0205152469716,237.0,675.0,1767.0,11.0,,2402.0,1202.0,1200.0,1201.0,1.4142135623730951,1200.5,1201.0,1201.5,2.0,
21:04:2013,63599.0,13201.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",16275.0,1996.0,60.0,542.5,508.4686780439127,161.25,443.5,642.75,30.0,1.0,1199.0,1199.0,1199.0,1199.0,,1199.0,1199.0,1199.0,1.0,1.0
22:04:2013,74398.0,28802.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Native American House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Chinese Language House",11877.0,1523.0,71.0,539.8636363636364,354.53904284356736,315.25,479.0,675.75,22.0,,4802.0,1202.0,1199.0,1200.5,1.2909944487358056,1199.75,1200.5,1201.25,4.0,
23:04:2013,12000.0,56400.0,0.0,0.0,0.0,0.0,1.0,0.0,6600.0,19.0,"Dartmouth College,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Reed Hall,Reed Hall,Dartmouth College",54552.0,3712.0,50.0,924.6101694915254,945.067011252042,197.0,635.0,1291.5,59.0,,2400.0,1202.0,1198.0,1200.0,2.8284271247461903,1199.0,1200.0,1201.0,2.0,
23:05:2013,8400.0,4800.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",27188.0,4608.0,30.0,1045.6923076923076,1187.4676170483392,116.0,484.0,1747.0,26.0,,3596.0,1200.0,1196.0,1198.6666666666667,2.3094010767585034,1198.0,1200.0,1200.0,3.0,
24:04:2013,66000.0,20401.0,0.0,0.0,0.0,0.0,2.0,0.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",18609.0,3651.0,30.0,547.3235294117648,801.9621664388458,148.5,272.0,516.75,34.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
