,home_time,school_time,recreational_activities,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,45600.0,16799.0,0.0,0.0,0.0,0.0,0.0,3900.0,21.0,"Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0",13775.0,4549.0,30.0,551.0,915.3799302293374,131.0,272.0,514.0,25.0,,16763.0,13199.0,1164.0,4190.75,6005.524033476734,1190.25,1200.0,4200.5,4.0,
01:05:2013,367154.0,7201.0,0.0,0.0,0.0,2.0,1.0,10500.0,21.0,"0,Webster Hall,Webster Hall,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0",4327.0,1767.0,40.0,360.5833333333333,465.3658303535038,131.0,216.5,395.75,12.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
02:04:2013,82799.0,2401.0,1200.0,0.0,0.0,1.0,1.0,6600.0,21.0,"0,0,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0",20369.0,3903.0,40.0,484.9761904761905,698.5463473666439,100.25,293.0,438.25,42.0,,8405.0,1200.0,243.0,1050.625,328.94721135334595,1118.75,1173.5,1198.5,8.0,
03:04:2013,96000.0,4800.0,1200.0,2400.0,0.0,2.0,1.0,10500.0,21.0,"0,Ripley Hall,0,0,0,0,0,Dartmouth College,Dartmouth College,Berry Library,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",8924.0,2723.0,60.0,405.6363636363636,651.407161492173,103.75,181.0,365.5,22.0,1.0,10425.0,1201.0,1084.0,1158.3333333333333,38.00986713999406,1143.0,1152.0,1198.0,9.0,1.0
04:04:2013,13200.0,3600.0,49200.0,0.0,0.0,3.0,1.0,6900.0,21.0,"0,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,0,Dartmouth College,Berry Library,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",17910.0,5002.0,71.0,663.3333333333334,1296.1695342579465,111.0,152.0,322.0,27.0,1.0,1505.0,1200.0,305.0,752.5,632.86056916196,528.75,752.5,976.25,2.0,1.0
05:04:2013,100800.0,0.0,0.0,1200.0,0.0,4.0,1.0,3000.0,21.0,"0,0,0,0,0,0,0,0,0",8944.0,1402.0,20.0,298.1333333333333,308.64428061122885,83.25,146.5,502.25,30.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
05:05:2013,223200.0,2400.0,0.0,0.0,0.0,-1.0,0.0,0.0,21.0,"0,Sanborn House,0",9031.0,3545.0,50.0,694.6923076923077,966.6948315967649,141.0,282.0,928.0,13.0,,13159.0,7198.0,1159.0,2193.1666666666665,2451.913898705798,1200.0,1200.0,1201.5,6.0,
06:04:2013,100800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,"0,0,0,0,0,0,0",13887.0,1290.0,61.0,338.7073170731707,309.81214016742786,100.0,202.0,534.0,41.0,1.0,,,,,,,,,,1.0
07:04:2013,98400.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,21.0,"0,0,0,0,0,0",8892.0,1683.0,60.0,317.57142857142856,366.18528284962713,105.75,166.0,383.0,28.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
08:04:2013,127200.0,3600.0,0.0,0.0,1200.0,0.0,0.0,3900.0,21.0,"0,0,0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",14603.0,4448.0,30.0,429.5,767.4904500442276,108.25,211.5,474.25,34.0,1.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,1.0
