,home_time,recreational_activities,school_time,travel_time,orthers,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,85201.0,2399.0,4800.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2471.0,595.0,100.0,274.55555555555554,190.7983956373265,131.0,222.0,394.0,9.0,1.0,,,,,,,,,,1.0
01:06:2013,14400.0,0.0,3600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,"North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall",2302.0,1625.0,61.0,460.4,661.0596039692638,71.0,202.0,343.0,5.0,,1204.0,1204.0,1204.0,1204.0,,1204.0,1204.0,1204.0,1.0,
02:04:2013,75601.0,0.0,4799.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,23.0,"Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",13652.0,4378.0,50.0,650.0952380952381,1030.884664002812,131.0,182.0,626.0,21.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
03:04:2013,66003.0,5999.0,12000.0,3598.0,0.0,0.0,0.0,2.0,0.0,11700.0,23.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center",21635.0,3934.0,61.0,636.3235294117648,878.4377220673085,131.0,318.0,632.5,34.0,2.0,6118.0,2400.0,1318.0,2039.3333333333333,624.6929912631751,1859.0,2400.0,2400.0,3.0,4.0
04:04:2013,72000.0,0.0,9482.0,0.0,3718.0,0.0,0.0,3.0,0.0,7800.0,23.0,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",19902.0,4387.0,31.0,642.0,861.422041355649,136.0,373.0,736.5,31.0,1.0,2397.0,1200.0,1197.0,1198.5,2.1213203435596424,1197.75,1198.5,1199.25,2.0,2.0
04:05:2013,166854.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,North Massachusetts Hall,7314.0,2160.0,30.0,318.0,442.56124383575946,90.5,161.0,367.5,23.0,,84052.0,80524.0,3528.0,42026.0,54444.39372423942,22777.0,42026.0,61275.0,2.0,
05:04:2013,80400.0,4800.0,1200.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons",30838.0,2655.0,60.0,770.95,679.4013937622985,166.25,636.0,1372.25,40.0,1.0,,,,,,,,,,1.0
05:05:2013,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,North Massachusetts Hall,746.0,242.0,81.0,149.2,69.03767087612385,81.0,161.0,181.0,5.0,,,,,,,,,,,
06:04:2013,93550.0,0.0,2403.0,0.0,1247.0,0.0,0.0,5.0,0.0,0.0,23.0,"Dartmouth College,Dartmouth College,Byrne Dining Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",24492.0,10158.0,81.0,979.68,2013.3664536458991,161.0,373.0,706.0,25.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
06:05:2013,173287.0,4799.0,3599.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Carson Hall,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall",11314.0,3389.0,61.0,665.5294117647059,850.7525431674491,111.0,373.0,766.0,17.0,2.0,8444.0,3596.0,1164.0,2111.0,1165.6511770965903,1189.5,1842.0,2763.5,4.0,4.0
07:04:2013,92177.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"Dartmouth College,Whittemore Hall,Whittemore Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",14327.0,10736.0,70.0,895.4375,2631.86496534935,103.5,181.5,322.5,16.0,2.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,5.0
08:04:2013,57606.0,3600.0,8398.0,0.0,0.0,1196.0,0.0,0.0,0.0,11700.0,23.0,"Dartmouth College,Thornton Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Beta Alpha Omega,Goldstein Hall,Goldstein Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center",,,,,,,,,,,13200.0,3600.0,1196.0,2200.0,886.9049554490041,1535.5,2367.5,2400.0,6.0,4.5
