,home_time,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,7200.0,10800.0,0.0,0.0,0.0,0.0,7800.0,4.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall",14131.0,4197.0,50.0,942.0666666666668,1133.0403136609714,136.5,484.0,1260.5,15.0,,25200.0,12000.0,1200.0,6300.0,5909.3146810776625,1200.0,6000.0,11100.0,4.0,3.375
02:04:2013,153368.0,6000.0,0.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",,,,,,,,,,,6000.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,5.0,
03:04:2013,8398.0,4802.0,0.0,0.0,2.0,1.0,7800.0,4.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",9650.0,4517.0,91.0,1206.25,1526.1964627324828,315.0,539.5,1401.75,8.0,,10802.0,3600.0,2400.0,2700.5,599.6674078187008,2400.0,2401.0,2701.5,4.0,
04:04:2013,152400.0,6000.0,0.0,0.0,3.0,0.0,7800.0,4.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",,,,,,,,,,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,5.0
05:04:2013,2400.0,16800.0,0.0,0.0,4.0,0.0,6000.0,4.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall",10661.0,4328.0,60.0,1184.5555555555557,1761.1846943968649,81.0,252.0,1453.0,9.0,2.0,21499.0,10800.0,1099.0,7166.333333333333,5288.610435013467,5349.5,9600.0,10200.0,3.0,5.0
06:04:2013,78000.0,2400.0,0.0,0.0,5.0,0.0,0.0,4.0,"Sudikoff Hall,0,0,0,0",12204.0,1865.0,70.0,488.16,477.00923121745416,111.0,303.0,706.0,25.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,2.0
07:04:2013,160800.0,0.0,0.0,0.0,-1.0,0.0,0.0,4.0,"0,0,0,0",,,,,,,,,,,,,,,,,,,,1.0
08:04:2013,1201.0,11999.0,0.0,0.0,0.0,0.0,7800.0,4.0,"0,Vail,Class of 1978 Life Sciences Center,Sudikoff Hall",11789.0,4055.0,60.0,736.8125,1043.2114019539215,103.25,252.5,978.0,16.0,2.0,21600.0,10800.0,1200.0,7200.0,5230.678732248808,5400.0,9600.0,10200.0,3.0,5.0
08:05:2013,501600.0,7200.0,0.0,0.0,2.0,0.0,7800.0,4.0,"Sudikoff Hall,Sudikoff Hall,0",232.0,232.0,232.0,232.0,,232.0,232.0,232.0,1.0,,2337.0,1202.0,1135.0,1168.5,47.37615433949868,1151.75,1168.5,1185.25,2.0,
09:04:2013,151200.0,8400.0,0.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",190.0,70.0,60.0,63.333333333333336,5.773502691896258,60.0,60.0,65.0,3.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
