,home_time,orthers,school_time,travel_time,recreational_activities,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,6000.0,39600.0,7199.0,33601.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"0,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",26003.0,5649.0,60.0,838.8064516129032,1209.4351689764069,121.5,353.0,902.5,31.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
01:05:2013,74400.0,0.0,6000.0,7200.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,"Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,0,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,Hanover Inn Valet Lot,New Hampshire Hall,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",27411.0,4044.0,20.0,1054.2692307692307,1216.9709464960065,196.25,424.5,1656.25,26.0,,2397.0,1200.0,1197.0,1198.5,2.1213203435596424,1197.75,1198.5,1199.25,2.0,
02:04:2013,30929.0,0.0,11102.0,40825.0,3545.0,0.0,0.0,1.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Bartlett Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,Collis Student Center",35383.0,5215.0,70.0,822.8604651162791,1159.9354986458627,151.0,342.0,781.0,43.0,,14304.0,14304.0,14304.0,14304.0,,14304.0,14304.0,14304.0,1.0,
02:05:2013,18000.0,0.0,4800.0,50441.0,11959.0,0.0,0.0,3.0,0.0,0.0,31.0,"Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,0,Dartmouth College,Collis Student Center,0,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,0,0,New Hampshire Hall,Hanover Inn Valet Lot,0,0,New Hampshire Hall,Hanover Inn Valet Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Wentworth Hall",19482.0,4185.0,60.0,1025.3684210526317,1067.3736828999338,171.0,797.0,1605.0,19.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
03:04:2013,24000.0,0.0,17999.0,19200.0,18000.0,7200.0,0.0,2.0,0.0,0.0,31.0,"Collis Student Center,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Alpha Phi,Alpha Phi,Alpha Phi,0,Alpha Phi,Alpha Phi,Collis Student Center,Collis Student Center,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,Dartmouth College",32754.0,3886.0,71.0,885.2432432432432,952.2977885504504,262.0,535.0,1119.0,37.0,2.0,,,,,,,,,,4.0
03:05:2013,27600.0,0.0,3600.0,25200.0,30000.0,0.0,0.0,4.0,0.0,0.0,31.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1953 Commons,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,0,Hallgarten Hall,0,Hanover Inn Valet Lot,0,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,Hanover Inn Valet Lot,0,Collis Student Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",35391.0,5991.0,50.0,1474.625,1851.527801867138,171.0,680.5,1739.5,24.0,2.0,7130.0,2400.0,1.0,1188.3333333333333,760.2596047842254,1118.5,1199.0,1229.25,6.0,4.0
04:04:2013,28800.0,0.0,7200.0,21010.0,14990.0,14400.0,0.0,3.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Alpha Phi,Alpha Phi,0,Hanover Inn Valet Lot,Bartlett Hall,New Hampshire Hall,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",47335.0,5418.0,71.0,1213.7179487179487,1292.9319180333375,216.5,938.0,1563.5,39.0,,,,,,,,,,,
04:05:2013,58874.0,1203.0,10836.0,8401.0,3600.0,0.0,6040.0,5.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Observatory Road,Sanborn House,Hanover Information booth,Collis Student Center,Collis Student Center,Dartmouth College,New Hampshire Hall,Bartlett Hall,Bartlett Hall,0,0,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,0,0,New Hampshire Hall,0,New Hampshire Hall",24634.0,4459.0,51.0,1539.625,1572.6288765418667,415.25,1023.0,1891.25,16.0,,,,,,,,,,,
05:04:2013,43467.0,0.0,9600.0,21590.0,13200.0,0.0,0.0,4.0,0.0,0.0,31.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",33430.0,4428.0,60.0,983.2352941176472,1275.9328864943443,166.0,368.0,1102.0,34.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
05:05:2013,50401.0,0.0,9600.0,28799.0,0.0,0.0,0.0,-1.0,0.0,0.0,31.0,"0,Dartmouth College,Dartmouth College,Bartlett Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Bartlett Hall,0,0,0,0,0,0,0,0,0,Bartlett Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",24053.0,3176.0,51.0,751.65625,751.7134667469445,240.25,579.5,798.75,32.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
