,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,50411.0,1200.0,4800.0,9595.0,0.0,0.0,0.0,0.0,7800.0,33.0,"Nugget Arcade,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Parkhurst Hall,Middle Massachusetts Hall,Middle Massachusetts Hall,Parkhurst Hall,Dartmouth College,Middle Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Anonymous Hall,Class of 1953 Commons,Class of 1953 Commons,0",26128.0,2857.0,30.0,637.2682926829268,830.6271132219995,141.0,255.0,403.0,41.0,1.0,,,,,,,,,,1.0
01:05:2013,60001.0,1199.0,8400.0,18000.0,0.0,0.0,2.0,0.0,7800.0,33.0,"Dartmouth College,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College,Simon Pearce,0",,,,,,,,,,,,,,,,,,,,
02:04:2013,76800.0,0.0,1200.0,6000.0,0.0,0.0,1.0,0.0,3900.0,33.0,"0,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall",27237.0,6021.0,40.0,778.2,1177.4426375437076,115.5,243.0,949.5,35.0,,1181.0,1181.0,1181.0,1181.0,,1181.0,1181.0,1181.0,1.0,
02:05:2013,43201.0,0.0,3598.0,38401.0,0.0,0.0,3.0,0.0,3900.0,33.0,"Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,MacLean Engineering Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sanborn House,Wentworth Hall,Wentworth Hall,Middle Massachusetts Hall,Middle Massachusetts Hall,Robinson Hall,Life Sciences Greenhouse,0",,,,,,,,,,,1200.0,1199.0,1.0,600.0,847.113923861484,300.5,600.0,899.5,2.0,
03:04:2013,62400.0,0.0,3600.0,21600.0,0.0,0.0,2.0,0.0,7800.0,33.0,"Dartmouth College,0,Carson Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1953 Commons,Class of 1953 Commons,Haldeman Center,0",23603.0,3308.0,31.0,842.9642857142857,833.5537700509412,269.0,489.5,1212.75,28.0,1.0,1206.0,1198.0,8.0,603.0,841.4570696119915,305.5,603.0,900.5,2.0,1.0
03:05:2013,58801.0,0.0,3600.0,25199.0,0.0,0.0,4.0,0.0,6000.0,33.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Parkhurst Hall,Middle Massachusetts Hall,Middle Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,0",,,,,,,,,,,3603.0,1203.0,1198.0,1201.0,2.6457513110645907,1200.0,1202.0,1202.5,3.0,
04:04:2013,58802.0,0.0,0.0,26398.0,0.0,0.0,3.0,0.0,3900.0,33.0,"Dartmouth College,Haldeman Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Collis Student Center,Collis Student Center,Haldeman Center,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Parkhurst Hall,Dartmouth College,Parkhurst Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",38643.0,9492.0,61.0,1104.0857142857142,1927.817119277176,136.0,384.0,1290.5,35.0,1.0,1199.0,1199.0,1199.0,1199.0,,1199.0,1199.0,1199.0,1.0,2.5
04:05:2013,169533.0,0.0,1200.0,3600.0,31200.0,0.0,5.0,0.0,0.0,33.0,"0,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Observatory Parking Lot,Wentworth Hall,Middle Massachusetts Hall",,,,,,,,,,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
05:04:2013,61195.0,0.0,6001.0,14405.0,1200.0,4799.0,4.0,0.0,6000.0,33.0,"Robinson Hall,Collis Student Center,Dartmouth College,Middle Massachusetts Hall,Mass Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Dartmouth College,0,0,Sphinx Secret Society,Sphinx Secret Society,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Middle Massachusetts Hall,Haldeman Center,Dartmouth College",28741.0,4498.0,40.0,798.3611111111111,998.505888180014,148.5,292.0,1258.25,36.0,1.0,4349.0,2376.0,771.0,1449.6666666666667,830.6686062042631,986.5,1202.0,1789.0,3.0,1.0
06:04:2013,80401.0,0.0,0.0,9600.0,0.0,0.0,5.0,0.0,0.0,33.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Byrne Dining Hall,Byrne Dining Hall,Dartmouth College",28804.0,7123.0,30.0,847.1764705882352,1518.6426449517196,143.5,282.0,670.75,34.0,2.0,1664.0,1200.0,464.0,832.0,520.430590953299,648.0,832.0,1016.0,2.0,
