,orthers,school_time,travel_time,home_time,working,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:05:2013,395753.0,6002.0,33598.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"Hanover Post Office,Hanover Post Office,Sudikoff Hall,Sudikoff Hall,F Lot Parking,F Lot Parking,0,0",17834.0,1301.0,30.0,424.6190476190476,325.75390624398835,163.5,383.0,541.5,42.0,,19199.0,7200.0,1199.0,3199.8333333333335,3098.5158006159445,1200.0,1200.0,5700.0,6.0,
02:04:2013,77998.0,31202.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Sudikoff Hall,0,0,0,0,0,0",42757.0,6516.0,71.0,1096.3333333333333,1468.6088894513198,191.5,435.0,1212.5,39.0,0.0,82409.0,26407.0,2397.0,9156.555555555557,10387.039329268846,2400.0,2401.0,17603.0,9.0,3.0
03:04:2013,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"0,0,0",35280.0,7135.0,61.0,1306.6666666666667,2072.672856297097,131.0,242.0,1043.5,27.0,2.0,38006.0,13408.0,1200.0,3455.090909090909,3866.435010563231,1200.5,1203.0,3601.0,11.0,4.5
04:04:2013,45584.0,27086.0,7216.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,"Anonymous Hall,Anonymous Hall,0,0,0,Anonymous Hall,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center",23685.0,5624.0,71.0,816.7241379310345,1158.5972706113114,152.0,495.0,826.0,29.0,2.0,27705.0,7196.0,1197.0,2770.5,2509.523648911172,1200.0,1202.5,4005.75,10.0,4.0
05:04:2013,34800.0,49902.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Anonymous Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",25234.0,3521.0,20.0,682.0,870.8137318368122,161.0,283.0,857.0,37.0,2.0,36743.0,9111.0,1180.0,2826.3846153846152,2044.696943251882,2356.0,2400.0,2401.0,13.0,5.0
06:04:2013,37200.0,34804.0,0.0,9600.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"Anonymous Hall,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",14918.0,2793.0,60.0,1147.5384615384614,1048.8688045846195,121.0,1081.0,1936.0,13.0,1.0,22705.0,3606.0,1109.0,2270.5,1203.068230262385,1199.25,1799.5,3598.0,10.0,2.5
06:05:2013,32401.0,39601.0,5998.0,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,F Lot Parking",19526.0,3196.0,50.0,673.3103448275862,761.2851494793092,131.0,444.0,887.0,29.0,1.0,29998.0,7203.0,1195.0,3333.1111111111113,2601.3600502643058,1200.0,1200.0,5997.0,9.0,1.0
07:04:2013,0.0,0.0,0.0,161217.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"0,0",,,,,,,,,,,,,,,,,,,,
08:04:2013,1200.0,10800.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,46.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hanover Park,Hanover Park,Simon Pearce,Anonymous Hall",21726.0,4219.0,60.0,749.1724137931035,964.0809490673902,141.0,272.0,928.0,29.0,2.0,13227.0,2469.0,1117.0,1322.7,404.5054731122655,1188.5,1199.5,1202.0,10.0,4.5
08:05:2013,9600.0,51601.0,5999.0,26400.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"F Lot Parking,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Vail,F Lot Parking,Maynard Parking Lot,F Lot Parking,F Lot Parking,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall",19806.0,6124.0,70.0,521.2105263157895,985.9667819056264,116.0,272.0,524.75,38.0,1.0,18004.0,4800.0,1199.0,1500.3333333333333,1039.1262355139215,1200.0,1200.0,1200.25,12.0,2.5
