,home_time,school_time,travel_time,orthers,working,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,69600.0,3600.0,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dana Circle Parking Lot,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",14294,4541.0,91.0,893.375,1181.0907317673214,168.5,404.0,1107.5,16.0,,25167.0,3601.0,1186.0,1572.9375,721.338429010036,1187.0,1200.0,1539.5,16.0,2.0
01:05:2013,45597.0,7205.0,1199.0,32399.0,0.0,0.0,2.0,0.0,0.0,53.0,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Goldstein Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,0,Thomas Hall,Thomas Hall,Kemeny Hall,0,Thomas Hall,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",3686,1728.0,50.0,283.53846153846155,451.8398712273733,101.0,111.0,252.0,13.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
01:06:2013,17981.0,9002.0,600.0,0.0,0.0,0.0,5.0,0.0,0.0,53.0,"Thomas Hall,Goldstein Hall,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Thomas Hall,Maynard Parking Lot,Goldstein Hall,Dartmouth College,Dartmouth College,Fairchild Physical Sciences Center,Fairchild Physical Sciences Center,Goldstein Hall,Fairchild Physical Sciences Center,Fairchild Physical Sciences Center,Wheeler Hall,Thomas Hall",384,192.0,192.0,192.0,0.0,192.0,192.0,192.0,2.0,,3591.0,603.0,584.0,598.5,7.231873892705818,600.0,600.5,602.5,6.0,
02:04:2013,89679.0,8401.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",5551,2306.0,70.0,308.3888888888889,526.3127161330978,83.5,136.5,255.25,18.0,,27561.0,4801.0,1190.0,2756.1,1504.2132273495447,1496.25,2392.5,4200.25,10.0,
02:05:2013,91200.0,4800.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,53.0,"Dartmouth College,Chinese Language House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Rockefeller Center,Dartmouth College,Dartmouth College,Goldstein Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",4093,1152.0,81.0,341.0833333333333,332.90770174147053,101.0,162.0,497.75,12.0,,2376.0,1189.0,1187.0,1188.0,1.4142135623730951,1187.5,1188.0,1188.5,2.0,
03:04:2013,68407.0,4799.0,1197.0,0.0,0.0,0.0,2.0,0.0,0.0,53.0,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College",7330,1082.0,40.0,366.5,316.6822249178936,156.75,202.0,594.5,20.0,0.0,25101.0,3613.0,1147.0,1930.8461538461536,1049.2447955675743,1188.0,1211.0,2403.0,13.0,3.0
03:05:2013,72000.0,4800.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,53.0,"Dartmouth College,Thomas Hall,Thomas Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",2305,910.0,40.0,230.5,272.86921979422874,73.5,141.5,172.0,10.0,,4804.0,1204.0,1200.0,1201.0,2.0,1200.0,1200.0,1201.0,4.0,
04:04:2013,39605.0,11998.0,1195.0,0.0,32400.0,0.0,3.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Moore Psychology Building,Dartmouth College,Rockefeller Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Thomas Hall",10575,5268.0,102.0,622.0588235294117,1232.0097133641152,182.0,233.0,424.0,17.0,2.0,20399.0,5999.0,1186.0,2039.9,1501.931604449565,1193.25,1213.0,2397.25,10.0,5.0
04:05:2013,75103.0,13207.0,0.0,0.0,1200.0,0.0,5.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Sanborn House,Thomas Hall,Thomas Hall,Goldstein Hall,Parker House,Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College",8339,2235.0,70.0,641.4615384615385,656.7099328451153,111.0,546.0,1011.0,13.0,,2389.0,1200.0,1189.0,1194.5,7.7781745930520225,1191.75,1194.5,1197.25,2.0,
05:04:2013,60035.0,1200.0,0.0,0.0,25202.0,0.0,4.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Moore Psychology Building,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",10426,8312.0,20.0,1303.25,2844.0782965915087,126.0,248.0,678.0,8.0,1.0,27545.0,4790.0,1189.0,2754.5,1269.225332415188,1506.0,2974.0,3609.25,10.0,1.0
