date,level,time
 01:04:2013 ,1.5,1364770060.5
 03:04:2013 ,1.0,1364968984.0
 04:04:2013 ,4.0,1365060515.0
 05:04:2013 ,4.0,1365142122.0
 06:04:2013 ,4.5,1365226385.5
 07:05:2013 ,1.0,1367903060.0
 08:04:2013 ,1.0,1365369714.0
 09:04:2013 ,1.0,1365483001.0
 10:04:2013 ,2.0,1365562762.0
 11:04:2013 ,1.0,1365639495.5
 12:04:2013 ,1.0,1365734659.0
 14:04:2013 ,4.0,1365893676.0
 15:04:2013 ,1.0,1365981255.0
 16:04:2013 ,1.0,1366081693.0
 17:04:2013 ,1.0,1366171307.0
 19:04:2013 ,4.0,1366331562.0
 20:04:2013 ,4.0,1366440292.0
 27:03:2013 ,4.0,1364359545.0
 27:04:2013 ,1.0,1366999402.0
 28:04:2013 ,2.0,1367135266.0
 29:03:2013 ,4.0,1364514789.0
 29:04:2013 ,2.3333333333333335,1367192579.6666667
 30:03:2013 ,3.0,1364594951.5
 30:04:2013 ,2.0,1367301495.0
 31:03:2013 ,1.0,1364682446.0
