tnv,1,2,3,4,time_learn_day
2,ENGS 069,ENGS 022,ANTH 012,,"[11700.0, 3900.0, 11700.0, 7800.0, 9000.0]"
3,COSC 077,COSC 098,COSC 065,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
4,COSC 057,COSC 065,,,"[7800.0, 0.0, 7800.0, 7800.0, 6000.0]"
5,COSC 065,,,,"[3900.0, 0.0, 3900.0, 3900.0, 3000.0]"
6,COSC 050,PSYC 028,COSC 065,,"[11700.0, 3900.0, 11700.0, 7800.0, 9000.0]"
7,COSC 077,COSC 060,COSC 065,,"[7800.0, 6600.0, 14400.0, 10800.0, 6000.0]"
8,CHIN 062,COSC 089,COSC 065,,"[10500.0, 6600.0, 3900.0, 6900.0, 3000.0]"
9,ANTH 050,COSC 065,COSC 099,,"[3900.0, 0.0, 3900.0, 3900.0, 3000.0]"
10,COSC 050,BIOL 004,COSC 065,,"[7800.0, 10500.0, 14400.0, 6900.0, 6000.0]"
11,COSC 089,COSC 050,TUCK 003,COSC 065,"[7800.0, 10500.0, 14400.0, 6900.0, 6000.0]"
12,COSC 070,COSC 065,,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
13,COSC 065,COSC 027,COSC 020,,"[10500.0, 6600.0, 10500.0, 13500.0, 3000.0]"
14,EARS 003,SPAN 003,COSC 065,,"[10800.0, 6900.0, 10800.0, 6900.0, 9000.0]"
15,COSC 065,COSC 027,,,"[10500.0, 0.0, 3900.0, 10500.0, 3000.0]"
16,COSC 089,MUS 016,COSC 065,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
17,COSC 089,CHIN 033,TUCK 003,COSC 065,"[6900.0, 9600.0, 13500.0, 9900.0, 6000.0]"
18,COSC 050,COSC 065,FILM 051,,"[7800.0, 10500.0, 14400.0, 6900.0, 6000.0]"
19,COSC 070,COSC 065,,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
20,COSC 050,NAS 035,COSC 065,,"[11700.0, 7800.0, 11700.0, 3900.0, 9000.0]"
21,COSC 070,COSC 065,,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
22,M&SS 045,COSC 060,COSC 065,,"[11700.0, 0.0, 11700.0, 11700.0, 9000.0]"
23,NAS 008,COSC 065,ENGL 028,,"[11700.0, 3900.0, 11700.0, 7800.0, 9000.0]"
24,ECON 024,JAPN 033,FILM 042,COSC 065,"[11700.0, 3900.0, 11700.0, 7800.0, 9000.0]"
25,MUS 003,COSC 050,COSC 065,,"[7800.0, 10500.0, 14400.0, 6900.0, 6000.0]"
26,MUS 003,COSC 077,COSC 065,,"[3900.0, 13200.0, 17100.0, 9900.0, 3000.0]"
27,MATH 023,COSC 069,COSC 065,,"[14400.0, 10500.0, 7800.0, 6900.0, 6000.0]"
28,ENGS 025,ENGS 069,ENGS 093,,"[11700.0, 3900.0, 11700.0, 7800.0, 9000.0]"
29,COSC 070,COSC 065,,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
30,COSC 070,COSC 065,,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
31,,,,,"[0, 0, 0, 0, 0]"
32,,,,,"[0, 0, 0, 0, 0]"
33,COSC 050,SPAN 002,COSC 065,,"[7800.0, 3900.0, 7800.0, 3900.0, 6000.0]"
34,COSC 070,COSC 065,,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
35,ENGS 031,COSC 065,,,"[3900.0, 0.0, 3900.0, 3900.0, 3000.0]"
36,COSC 060,COSC 065,,,"[7800.0, 0.0, 7800.0, 7800.0, 6000.0]"
37,COSC 070,COSC 065,,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
38,ECON 036,COSC 050,COSC 065,,"[11700.0, 3900.0, 11700.0, 7800.0, 9000.0]"
39,COSC 060,COSC 065,,,"[7800.0, 0.0, 7800.0, 7800.0, 6000.0]"
40,MATH 013,LAT 003,COSC 065,,"[11700.0, 3900.0, 11700.0, 7800.0, 9000.0]"
41,COSC 060,COSC 065,,,"[7800.0, 0.0, 7800.0, 7800.0, 6000.0]"
42,COSC 070,COSC 065,,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
43,BIOL 006,COSC 050,COSC 065,,"[7800.0, 10500.0, 14400.0, 6900.0, 6000.0]"
44,COSC 089,COSC 065,,,"[3900.0, 0.0, 3900.0, 3900.0, 3000.0]"
45,ENGS 025,MATH 023,COSC 065,,"[11700.0, 3900.0, 11700.0, 7800.0, 9000.0]"
46,,,,,"[0, 0, 0, 0, 0]"
47,COSC 098,COSC 060,COSC 065,,"[7800.0, 0.0, 7800.0, 7800.0, 6000.0]"
48,COSC 070,COSC 065,,,"[3900.0, 6600.0, 10500.0, 6900.0, 3000.0]"
49,GERM 001,COSC 065,COSC 007,,"[10800.0, 3000.0, 10800.0, 10800.0, 9000.0]"
